,mut_NB_f4,mut_NB_f5
g21350,4,4
g21351,11,12
g21352,0,0
g21353,141,100
g21354,14,8
g21355,37,33
g21356,98,45
g21357,4,4
g21358,0,0
g21359,211,148
g21360,111,28
g21361,1486,739
g21362,93,73
g21363,74,72
g21364,375,263
g21365,24,10
g21366,16,13
g21367,0,0
g21368,14,7
g21369,1,2
g21370,0,0
g21371,381,262
g21372,17,13
g21373,36,29
g21374,4,5
g21375,107,154
g21376,1,0
g21377,0,0
g21378,0,0
g21379,0,0
g21380,0,0
g21381,0,0
g21382,0,0
g21383,0,0
g21384,0,0
g21385,0,0
g21386,0,0
g21387,0,0
g21388,0,0
g21389,0,0
g21390,0,0
g21391,0,0
g21392,0,0
g21393,2,2
g21394,54,41
g21395,28,40
g21396,0,0
g21397,0,0
g21398,0,0
g21399,4,2
g21400,0,0
g21401,0,0
g21402,0,0
g21403,0,0
g21404,0,0
g21405,0,0
g21406,11,6
g21407,1,0
g21408,11,18
g21409,0,0
g21410,54,52
g21411,82,58
g21412,0,0
g21413,0,0
g21414,0,0
g21415,0,0
g21416,0,0
g21417,0,0
g21418,0,0
g21419,0,0
g21420,66,51
g21421,5,2
g21422,27,16
g21423,18,10
g21424,0,0
g21425,0,0
g21426,0,0
g21427,0,0
g21428,0,0
g21429,1,0
g21430,0,0
g21431,0,0
g21432,197,161
g21433,1,0
g21434,0,0
g21435,0,0
g21436,10,14
g21437,0,0
g21438,331,382
g21439,1681,1577
g21440,191,114
g21441,1,0
g21442,28,32
g21443,10,7
g21444,45,47
g21445,0,0
g21446,1,0
g21447,7,4
g21448,255,215
g21449,3,1
g21450,889,875
g21451,127,86
g21452,49,31
g21453,1993,1890
g21454,475,264
g21455,4195,2703
g21456,3694,2697
g21457,19586,11738
g21458,404,102
g21459,5668,4910
g21460,3,3
g21461,0,0
g21462,0,0
g21463,0,0
g21464,1,2
g21465,1,1
g21466,0,0
g21467,0,0
g21468,0,0
g21469,0,0
g21470,0,0
g21471,0,0
g21472,0,0
g21473,0,0
g21474,0,0
g21475,0,0
g21476,1,0
g21477,2,6
g21478,343,223
g21479,2,1
g21480,4,3
g21481,11,3
g21482,17,18
g21483,21,8
g21484,1,0
g21485,11,1
g21486,4,3
g21487,0,0
g21488,80,73
g21489,401,504
g21490,9,5
g21491,28,7
g21492,2,5
g21493,76,49
g21494,738,689
g21495,13,7
g21496,93,67
g21497,258,245
g21498,0,0
g21499,0,0
g21500,8,2
g21501,61,52
g21502,749,728
g21503,205,177
g21504,847,711
g21505,55,33
g21506,397,281
g21507,681,592
g21508,8,4
g21509,124,66
g21510,597,476
g21511,1613,1292
g21512,170,155
g21513,867,738
g21514,2,1
g21515,13,10
g21516,231,226
g21517,22,24
g21518,61,52
g21519,508,390
g21520,685,573
g21521,16,14
g21522,519,379
g21523,483,322
g21524,484,343
g21525,63,45
g21526,17,22
g21527,4,1
g21528,2467,1892
g21529,5,2
g21530,1881,1626
g21531,4468,3706
g21532,9,5
g21533,17,9
g21534,4,4
g21535,372,298
g21536,9,4
g21537,11,11
g21538,257,211
g21539,121,110
g21540,0,0
g21541,0,0
g21542,0,0
g21543,0,1
g21544,4262,3008
g21545,78,78
g21546,10,4
g21547,0,0
g21548,0,0
g21549,513,336
g21550,133,116
g21551,2167,1514
g21552,22,17
g21553,35,27
g21554,1926,1386
g21555,1,0
g21556,11,7
g21557,2,0
g21558,1,0
g21559,164,181
g21560,63,44
g21561,60,80
g21562,117,118
g21563,80,80
g21564,6,1
g21565,1134,970
g21566,4,4
g21567,787,700
g21568,144,128
g21569,347,291
g21570,1,0
g21571,136,131
g21572,1,3
g21573,210,146
g21574,23,9
g21575,95,81
g21576,36,38
g21577,14,21
g21578,1450,1104
g21579,1,0
g21580,1,0
g21581,7,8
g21582,52,59
g21583,1533,1298
g21584,524,402
g21585,58,72
g21586,12,8
g21587,2506,2502
g21588,10,2
g21589,91,43
g21590,564,428
g21591,2,4
g21592,149,132
g21593,48,116
g21594,101,158
g21595,1172,1022
g21596,4,0
g21597,32,22
g21598,42,32
g21599,3,1
g21600,4,1
g21601,1083,925
g21602,2,1
g21603,13,22
g21604,0,0
g21605,0,0
g21606,1,1
g21607,0,1
g21608,128,69
g21609,0,0
g21610,130,102
g21611,0,0
g21612,2,0
g21613,62,7
g21614,0,0
g21615,271,169
g21616,447,284
g21617,1,0
g21618,2085,3735
g21619,0,1
g21620,498,329
g21621,231,149
g21622,5,1
g21623,0,1
g21624,1167,1018
g21625,353,279
g21626,34,61
g21627,3,6
g21628,7,7
g21629,3,2
g21630,1,1
g21631,0,0
g21632,0,0
g21633,0,0
g21634,0,0
g21635,1,0
g21636,0,0
g21637,0,0
g21638,0,0
g21639,5,2
g21640,1,0
g21641,3,2
g21642,3,4
g21643,332,375
g21644,6,11
g21645,331,240
g21646,43,26
g21647,644,428
g21648,0,0
g21649,222,179
g21650,322,259
g21651,3,0
g21652,14,13
g21653,0,0
g21654,1,3
g21655,0,0
g21656,1,0
g21657,1,2
g21658,45,26
g21659,25,22
g21660,99,144
g21661,0,0
g21662,0,0
g21663,0,0
g21664,0,0
g21665,271,133
g21666,11,4
g21667,2279,2078
g21668,321,329
g21669,25,16
g21670,55,45
g21671,2325,1822
g21672,46,15
g21673,3,0
g21674,0,0
g21675,0,0
g21676,0,1
g21677,6,0
g21678,79,60
g21679,1480,1106
g21680,251,183
g21681,311,248
g21682,0,0
g21683,0,0
g21684,1,0
g21685,0,0
g21686,0,0
g21687,10,10
g21688,0,0
g21689,48,79
g21690,48,79
g21691,2,5
g21692,0,0
g21693,0,0
g21694,0,0
g21695,0,0
g21696,1,2
g21697,0,0
g21698,0,0
g21699,0,0
g21700,0,0
g21701,0,0
g21702,2,2
g21703,0,0
g21704,0,1
g21705,1,0
g21706,0,0
g21707,17,20
g21708,1,1
g21709,11,9
g21710,2,3
g21711,2,2
g21712,55,76
g21713,1582,1342
g21714,19,26
g21715,76,38
g21716,0,0
g21717,539,442
g21718,191,161
g21719,318,235
g21720,85,76
g21721,3,2
g21722,1,3
g21723,117,113
g21724,3424,3411
g21725,0,0
g21726,40,37
g21727,168,154
g21728,0,0
g21729,0,1
g21730,4419,3669
g21731,139,134
g21732,259,208
g21733,143,106
g21734,75,54
g21735,701,501
g21736,8,15
g21737,191,131
g21738,101,101
g21739,5829,4187
g21740,294,273
g21741,218,206
g21742,1310,984
g21743,3972,2647
g21744,197,115
g21745,166,159
g21746,0,0
g21747,1911,1726
g21748,3,0
g21749,0,0
g21750,19,22
g21751,0,0
g21752,0,0
g21753,3275,2031
g21754,0,0
g21755,60,39
g21756,1,3
g21757,0,0
g21758,444,303
g21759,0,1
g21760,2,3
g21761,5,12
g21762,6,6
g21763,55,60
g21764,718,758
g21765,2453,2083
g21766,458,391
g21767,0,2
g21768,0,0
g21769,15,11
g21770,0,0
g21771,0,0
g21772,20,17
g21773,3359,3346
g21774,46,43
g21775,3,9
g21776,0,0
g21777,5116,4889
g21778,14,14
g21779,352,298
g21780,1,1
g21781,23,23
g21782,0,0
g21783,0,0
g21784,168,125
g21785,38,52
g21786,80,62
g21787,0,0
g21788,507,352
g21789,45,64
g21790,0,0
g21791,8,3
g21792,0,0
g21793,46,60
g21794,1751,1551
g21795,1,0
g21796,71,41
g21797,470,328
g21798,12,2
g21799,0,0
g21800,0,0
g21801,3,3
g21802,74,34
g21803,78,48
g21804,0,1
g21805,28,24
g21806,27,25
g21807,3,0
g21808,0,0
g21809,9,6
g21810,114,115
g21811,450,385
g21812,15,17
g21813,137,104
g21814,2645,2108
g21815,11,13
g21816,910,881
g21817,0,0
g21818,1546,1771
g21819,74,85
g21820,38,35
g21821,12,5
g21822,73,47
g21823,397,246
g21824,269,221
g21825,103,122
g21826,1629,1325
g21827,13,20
g21828,157,72
g21829,320,247
g21830,3849,3323
g21831,70,51
g21832,194,166
g21833,11,12
g21834,5299,6736
g21835,3,4
g21836,120,144
g21837,5,9
g21838,328,296
g21839,318,294
g21840,15,10
g21841,0,0
g21842,0,0
g21843,21,15
g21844,22,13
g21845,3,2
g21846,1,1
g21847,0,0
g21848,32,11
g21849,1,1
g21850,3,3
g21851,203,123
g21852,1979,1093
g21853,91,53
g21854,82,100
g21855,178,99
g21856,35,43
g21857,43,50
g21858,68,30
g21859,0,0
g21860,94,92
g21861,6,11
g21862,0,2
g21863,548,457
g21864,12,10
g21865,0,1
g21866,11,19
g21867,0,0
g21868,0,0
g21869,0,0
g21870,207,222
g21871,1403,1124
g21872,72,64
g21873,0,0
g21874,30,23
g21875,0,0
g21876,0,0
g21877,87,66
g21878,129,112
g21879,371,428
g21880,1485,1066
g21881,24,17
g21882,2,1
g21883,34,21
g21884,3189,2446
g21885,378,334
g21886,0,0
g21887,0,0
g21888,0,0
g21889,0,0
g21890,0,0
g21891,0,0
g21892,0,0
g21893,0,0
g21894,0,0
g21895,0,0
g21896,0,0
g21897,0,0
g21898,0,0
g21899,0,0
g21900,0,0
g21901,0,0
g21902,0,0
g21903,0,0
g21904,0,0
g21905,0,0
g21906,0,0
g21907,0,0
g21908,0,0
g21909,0,0
g21910,0,0
g21911,0,0
g21912,0,0
g21913,0,0
g21914,0,0
g21915,0,0
g21916,2,0
g21917,0,0
g21918,0,0
g21919,0,0
g21920,10,6
g21921,56,10
g21922,2,2
g21923,615,1074
g21924,1720,1250
g21925,336,301
g21926,6,5
g21927,0,0
g21928,755,662
g21929,5,12
g21930,0,1
g21931,48,51
g21932,165,129
g21933,5,2
g21934,0,1
g21935,832,599
g21936,299,201
g21937,0,0
g21938,24,10
g21939,1,0
g21940,758,527
g21941,51,71
g21942,23,18
g21943,0,0
g21944,791,892
g21945,141,74
g21946,39,38
g21947,1857,1601
g21948,39,24
g21949,20,17
g21950,106,66
g21951,135,150
g21952,1,0
g21953,0,0
g21954,1,0
g21955,2,1
g21956,3165,2963
g21957,10,20
g21958,55,41
g21959,51,33
g21960,126,99
g21961,76,70
g21962,17,10
g21963,10,8
g21964,51,60
g21965,231,202
g21966,1,2
g21967,6,2
g21968,281,278
g21969,28,25
g21970,589,399
g21971,309,298
g21972,5,10
g21973,4,6
g21974,194,132
g21975,0,0
g21976,123,79
g21977,366,374
g21978,19,15
g21979,15,26
g21980,8,3
g21981,273,288
g21982,87,54
g21983,0,0
g21984,2,11
g21985,0,1
g21986,135,147
g21987,714,713
g21988,2,1
g21989,36,17
g21990,299,179
g21991,14744,10496
g21992,2,0
g21993,40,57
g21994,372,326
g21995,59,63
g21996,45,29
g21997,31,15
g21998,8002,5783
g21999,5,7
g22000,5,0
g22001,379,187
g22002,0,0
g22003,1,3
g22004,11,17
g22005,0,0
g22006,2,0
g22007,1,0
g22008,436,325
g22009,455,385
g22010,27,19
g22011,375,260
g22012,0,0
g22013,99,84
g22014,16,10
g22015,2,1
g22016,40,35
g22017,2,0
g22018,3,12
g22019,453,323
g22020,173,112
g22021,1,0
g22022,298,238
g22023,2,3
g22024,59,43
g22025,12,20
g22026,162,137
g22027,1206,987
g22028,64,34
g22029,384,243
g22030,17,7
g22031,208,104
g22032,0,0
g22033,10,11
g22034,65,70
g22035,1129,995
g22036,149,61
g22037,803,809
g22038,1027,623
g22039,121,117
g22040,0,0
g22041,38,30
g22042,7,11
g22043,0,1
g22044,502,528
g22045,1,0
g22046,152,109
g22047,2,3
g22048,1,0
g22049,98,94
g22050,16,14
g22051,414,434
g22052,31,32
g22053,2253,1688
g22054,71,64
g22055,252,189
g22056,65,53
g22057,0,2
g22058,2,2
g22059,0,0
g22060,797,591
g22061,402,404
g22062,261,304
g22063,1477,1507
g22064,220,184
g22065,11,12
g22066,1,3
g22067,2,2
g22068,1,1
g22069,0,0
g22070,0,1
g22071,30,23
g22072,0,0
g22073,0,0
g22074,0,0
g22075,0,0
g22076,0,0
g22077,0,0
g22078,0,0
g22079,80,47
g22080,0,0
g22081,0,0
g22082,1,0
g22083,0,0
g22084,0,0
g22085,0,0
g22086,0,0
g22087,0,0
g22088,0,0
g22089,1,0
g22090,0,0
g22091,0,0
g22092,0,0
g22093,0,0
g22094,0,0
g22095,0,0
g22096,0,0
g22097,1,0
g22098,0,0
g22099,0,0
g22100,0,0
g22101,0,0
g22102,0,0
g22103,0,0
g22104,0,0
g22105,0,0
g22106,0,0
g22107,2,0
g22108,0,0
g22109,0,0
g22110,0,0
g22111,0,0
g22112,0,0
g22113,0,0
g22114,0,0
g22115,0,0
g22116,0,0
g22117,0,0
g22118,0,0
g22119,0,0
g22120,0,0
g22121,0,0
g22122,0,0
g22123,0,0
g22124,0,0
g22125,0,0
g22126,0,0
g22127,0,0
g22128,0,0
g22129,0,0
g22130,0,0
g22131,0,0
g22132,0,0
g22133,0,0
g22134,0,0
g22135,0,0
g22136,0,0
g22137,0,0
g22138,0,0
g22139,0,0
g22140,0,0
g22141,0,0
g22142,0,0
g22143,0,0
g22144,28,12
g22145,142,62
g22146,144,61
g22147,0,0
g22148,0,0
g22149,12,10
g22150,0,0
g22151,1,0
g22152,0,0
g22153,0,0
g22154,1,1
g22155,0,0
g22156,0,0
g22157,1,0
g22158,0,0
g22159,0,0
g22160,0,0
g22161,0,0
g22162,0,0
g22163,0,0
g22164,0,0
g22165,0,0
g22166,0,0
g22167,0,0
g22168,0,0
g22169,0,0
g22170,0,0
g22171,0,0
g22172,0,0
g22173,0,2
g22174,3,7
g22175,1,2
g22176,9,15
g22177,1,0
g22178,0,0
g22179,12,8
g22180,2,0
g22181,0,0
g22182,7,3
g22183,3,3
g22184,1,0
g22185,0,0
g22186,0,0
g22187,0,0
g22188,0,0
g22189,0,0
g22190,0,0
g22191,0,0
g22192,0,0
g22193,0,0
g22194,0,0
g22195,0,0
g22196,1,0
g22197,5,1
g22198,0,0
g22199,0,0
g22200,0,0
g22201,0,0
g22202,0,0
g22203,0,0
g22204,0,0
g22205,0,0
g22206,0,0
g22207,0,0
g22208,0,0
g22209,0,0
g22210,0,0
g22211,0,0
g22212,0,0
g22213,0,0
g22214,1,0
g22215,0,0
g22216,0,0
g22217,0,0
g22218,0,0
g22219,0,0
g22220,0,0
g22221,0,0
g22222,0,0
g22223,0,0
g22224,0,0
g22225,259,237
g22226,14,8
g22227,0,1
g22228,0,1
g22229,1,1
g22230,58,60
g22231,4174,3767
g22232,1418,1268
g22233,28,51
g22234,6,3
g22235,282,158
g22236,616,453
g22237,261,206
g22238,125,118
g22239,120,138
g22240,288,280
g22241,1127,1104
g22242,38,77
g22243,322,300
g22244,1,0
g22245,0,0
g22246,2,0
g22247,0,0
g22248,0,0
g22249,0,0
g22250,0,0
g22251,0,0
g22252,1,1
g22253,18,17
g22254,13,9
g22255,0,0
g22256,0,0
g22257,0,0
g22258,0,0
g22259,0,0
g22260,0,0
g22261,0,0
g22262,0,0
g22263,0,0
g22264,0,0
g22265,0,0
g22266,0,0
g22267,0,0
g22268,0,0
g22269,0,0
g22270,0,0
g22271,0,0
g22272,0,0
g22273,0,0
g22274,0,0
g22275,0,0
g22276,0,0
g22277,0,0
g22278,0,0
g22279,0,0
g22280,0,0
g22281,0,0
g22282,6,1
g22283,3,5
g22284,1232,849
g22285,4,3
g22286,13,7
g22287,0,0
g22288,0,0
g22289,0,0
g22290,0,0
g22291,0,0
g22292,0,0
g22293,0,0
g22294,0,0
g22295,0,0
g22296,0,0
g22297,0,0
g22298,0,0
g22299,0,0
g22300,0,0
g22301,0,0
g22302,0,0
g22303,0,0
g22304,0,0
g22305,0,0
g22306,0,0
g22307,0,0
g22308,0,0
g22309,0,0
g22310,0,0
g22311,0,0
g22312,0,0
g22313,0,0
g22314,0,0
g22315,0,0
g22316,0,0
g22317,0,0
g22318,0,0
g22319,0,0
g22320,0,0
g22321,0,0
g22322,0,0
g22323,0,0
g22324,0,0
g22325,0,0
g22326,0,0
g22327,0,0
g22328,0,0
g22329,0,0
g22330,0,0
g22331,0,0
g22332,2437,2490
g22333,1411,1293
g22334,18,12
g22335,50,37
g22336,104,73
g22337,5,0
g22338,2,2
g22339,12,23
g22340,147,138
g22341,11,11
g22342,157,133
g22343,80,102
g22344,3,2
g22345,0,0
g22346,794,613
g22347,186,83
g22348,13,9
g22349,174,147
g22350,345,265
g22351,0,0
g22352,1207,830
g22353,15,2
g22354,9,14
g22355,246,186
g22356,277,258
g22357,135,91
g22358,1064,1045
g22359,255,157
g22360,0,3
g22361,2781,2496
g22362,17,16
g22363,4,17
g22364,3,3
g22365,0,0
g22366,888,701
g22367,7432,6865
g22368,9,8
g22369,122,51
g22370,1690,1332
g22371,49,36
g22372,1068,692
g22373,177,154
g22374,103,79
g22375,20,13
g22376,1913,1464
g22377,365,339
g22378,0,0
g22379,688,526
g22380,312,252
g22381,0,0
g22382,143,144
g22383,39,32
g22384,125,97
g22385,1048,836
g22386,684,503
g22387,1,0
g22388,21,21
g22389,28,26
g22390,3,1
g22391,186,153
g22392,37,12
g22393,0,0
g22394,0,0
g22395,312,101
g22396,2,0
g22397,378,309
g22398,335,151
g22399,13,9
g22400,5,3
g22401,7,3
g22402,2249,1108
g22403,447,231
g22404,27,12
g22405,733,517
g22406,920,885
g22407,3331,2569
g22408,0,0
g22409,0,1
g22410,97,51
g22411,44,74
g22412,76,57
g22413,0,0
g22414,850,655
g22415,35,31
g22416,334,327
g22417,594,497
g22418,5,3
g22419,29,17
g22420,0,0
g22421,0,0
g22422,0,0
g22423,0,0
g22424,1,0
g22425,0,2
g22426,0,0
g22427,5,4
g22428,2,1
g22429,515,465
g22430,4,2
g22431,0,0
g22432,6,7
g22433,56,40
g22434,48,33
g22435,909,912
g22436,55,46
g22437,35,56
g22438,144,58
g22439,0,1
g22440,1,0
g22441,1,6
g22442,0,0
g22443,0,0
g22444,0,0
g22445,0,0
g22446,0,0
g22447,627,571
g22448,9,9
g22449,8,11
g22450,118,76
g22451,0,0
g22452,3,1
g22453,5015,4308
g22454,493,383
g22455,671,367
g22456,6,2
g22457,0,0
g22458,352,304
g22459,66,38
g22460,3,1
g22461,1,0
g22462,0,0
g22463,368,353
g22464,733,219
g22465,2097,940
g22466,259,261
g22467,13,10
g22468,66,37
g22469,75,118
g22470,452,362
g22471,10,9
g22472,43,9
g22473,335,213
g22474,39,30
g22475,0,0
g22476,1,0
g22477,70,67
g22478,0,0
g22479,1142,647
g22480,4780,3239
g22481,564,485
g22482,42,40
g22483,1,0
g22484,621,464
g22485,374,154
g22486,0,0
g22487,3,6
g22488,0,0
g22489,0,0
g22490,0,0
g22491,0,0
g22492,0,0
g22493,36,30
g22494,26,38
g22495,731,480
g22496,6,5
g22497,1017,673
g22498,371,224
g22499,22,49
g22500,1595,1135
g22501,386,279
g22502,13,11
g22503,518,383
g22504,57,35
g22505,18,35
g22506,758,423
g22507,109,76
g22508,323,233
g22509,18,14
g22510,31,32
g22511,1032,853
g22512,1718,1863
g22513,164,156
g22514,19,18
g22515,0,1
g22516,782,765
g22517,430,447
g22518,135,119
g22519,13,7
g22520,156,150
g22521,208,170
g22522,92,78
g22523,1025,972
g22524,1100,773
g22525,1521,1040
g22526,111,86
g22527,724,690
g22528,5428,8360
g22529,5,3
g22530,2,1
g22531,0,0
g22532,39,31
g22533,49,70
g22534,50,50
g22535,906,613
g22536,82,58
g22537,68,50
g22538,1,0
g22539,12,6
g22540,0,0
g22541,253,182
g22542,483,304
g22543,101,48
g22544,45,21
g22545,16,11
g22546,217,152
g22547,35,21
g22548,0,0
g22549,3,2
g22550,1,0
g22551,3,0
g22552,20,9
g22553,553,424
g22554,744,456
g22555,123,123
g22556,13,9
g22557,6,2
g22558,91,56
g22559,139,72
g22560,53,74
g22561,637,352
g22562,0,1
g22563,28,16
g22564,79,55
g22565,95,54
g22566,21,22
g22567,52,35
g22568,37,23
g22569,35,20
g22570,27,18
g22571,24,17
g22572,355,319
g22573,1425,1215
g22574,129,114
g22575,2977,2959
g22576,7,2
g22577,277,189
g22578,197,130
g22579,1069,860
g22580,8,3
g22581,180,98
g22582,321,247
g22583,77,61
g22584,22,18
g22585,4,0
g22586,1512,702
g22587,64,43
g22588,635,555
g22589,38,24
g22590,42,11
g22591,251,176
g22592,207,194
g22593,786,525
g22594,101,95
g22595,53,73
g22596,610,610
g22597,256,164
g22598,3417,2338
g22599,100,73
g22600,38,57
g22601,288,341
g22602,159,84
g22603,1420,1037
g22604,265,166
g22605,209,223
g22606,8,4
g22607,0,0
g22608,2,1
g22609,0,1
g22610,22,11
g22611,138,130
g22612,555,452
g22613,27,39
g22614,144,67
g22615,477,229
g22616,23,7
g22617,14,14
g22618,298,214
g22619,480,454
g22620,331,211
g22621,891,643
g22622,514,410
g22623,0,0
g22624,580,391
g22625,0,0
g22626,1437,679
g22627,291,271
g22628,304,231
g22629,5745,5205
g22630,10,22
g22631,7,8
g22632,64,73
g22633,22,17
g22634,1264,921
g22635,188,110
g22636,0,0
g22637,0,0
g22638,0,0
g22639,0,0
g22640,5,2
g22641,3,0
g22642,3,2
g22643,12,7
g22644,172,181
g22645,114,94
g22646,199,137
g22647,502,513
g22648,0,0
g22649,1,0
g22650,305,263
g22651,0,0
g22652,124,38
g22653,817,717
g22654,45,26
g22655,62,50
g22656,252,158
g22657,0,0
g22658,48,56
g22659,422,288
g22660,73,39
g22661,257,243
g22662,46,49
g22663,2802,1558
g22664,302,332
g22665,0,0
g22666,0,0
g22667,566,352
g22668,6,4
g22669,40,51
g22670,246,258
g22671,1375,1180
g22672,4,2
g22673,3,8
g22674,83,97
g22675,0,0
g22676,146,130
g22677,2024,1860
g22678,153,154
g22679,1,0
g22680,2,0
g22681,0,0
g22682,0,0
g22683,0,0
g22684,360,301
g22685,0,0
g22686,36,24
g22687,737,558
g22688,0,0
g22689,0,0
g22690,0,0
g22691,0,0
g22692,0,0
g22693,9,9
g22694,17,10
g22695,1,2
g22696,34,49
g22697,212,202
g22698,0,0
g22699,46,29
g22700,163,90
g22701,134,243
g22702,1,2
g22703,3,6
g22704,1,0
g22705,4,5
g22706,133,103
g22707,260,176
g22708,30,15
g22709,0,0
g22710,1,0
g22711,1,0
g22712,0,0
g22713,7,3
g22714,1,0
g22715,4,1
g22716,109,60
g22717,248,201
g22718,68,74
g22719,0,0
g22720,0,1
g22721,1,2
g22722,10,7
g22723,615,623
g22724,58,63
g22725,33,26
g22726,0,3
g22727,0,0
g22728,0,0
g22729,0,0
g22730,72,38
g22731,0,0
g22732,1,0
g22733,0,0
g22734,0,0
g22735,2,0
g22736,1,0
g22737,0,0
g22738,0,0
g22739,0,0
g22740,0,0
g22741,0,0
g22742,0,0
g22743,0,0
g22744,0,0
g22745,0,0
g22746,0,0
g22747,0,0
g22748,0,0
g22749,0,0
g22750,0,0
g22751,11,9
g22752,4497,3214
g22753,1244,874
g22754,1,0
g22755,1,0
g22756,168,112
g22757,627,555
g22758,20,12
g22759,889,682
g22760,2,1
g22761,0,0
g22762,0,0
g22763,78,68
g22764,4,5
g22765,374,238
g22766,17,23
g22767,79,37
g22768,0,0
g22769,84,52
g22770,7209,5870
g22771,165,98
g22772,4218,2314
g22773,174,176
g22774,4990,4456
g22775,1837,1718
g22776,65,47
g22777,89,63
g22778,1268,820
g22779,7,11
g22780,906,652
g22781,284,296
g22782,1,3
g22783,0,0
g22784,1,0
g22785,354,292
g22786,74,72
g22787,5955,4279
g22788,1322,985
g22789,479,657
g22790,164,162
g22791,0,1
g22792,0,2
g22793,48,35
g22794,44,39
g22795,935,859
g22796,15,2
g22797,652,553
g22798,15,9
g22799,160,90
g22800,52,43
g22801,26,20
g22802,119,152
g22803,367,316
g22804,52,42
g22805,33,12
g22806,3,5
g22807,4,3
g22808,0,0
g22809,51,87
g22810,3949,3363
g22811,25,81
g22812,0,0
g22813,1088,909
g22814,89,65
g22815,0,0
g22816,0,0
g22817,0,0
g22818,0,0
g22819,0,0
g22820,0,0
g22821,0,0
g22822,0,0
g22823,0,0
g22824,0,0
g22825,0,0
g22826,94,78
g22827,20544,14595
g22828,121,68
g22829,65,53
g22830,63,67
g22831,4,8
g22832,88,46
g22833,4,7
g22834,5,3
g22835,16619,14895
g22836,1644,1388
g22837,4692,4737
g22838,0,0
g22839,123,95
g22840,0,0
g22841,0,0
g22842,1,0
g22843,68,47
g22844,0,1
g22845,28,20
g22846,464,414
g22847,153,103
g22848,6,4
g22849,9,6
g22850,2002,1716
g22851,0,2
g22852,164,190
g22853,67,66
g22854,35,23
g22855,765,695
g22856,1519,1249
g22857,0,1
g22858,5,17
g22859,68,106
g22860,2920,2293
g22861,0,0
g22862,2,0
g22863,22,11
g22864,2219,1902
g22865,0,0
g22866,6,3
g22867,2053,1418
g22868,1935,1178
g22869,39,17
g22870,114,93
g22871,1975,1813
g22872,0,0
g22873,5,1
g22874,0,0
g22875,0,0
g22876,367,262
g22877,173,108
g22878,374,347
g22879,3,0
g22880,287,224
g22881,2,3
g22882,0,0
g22883,0,0
g22884,0,0
g22885,964,683
g22886,1,1
g22887,736,420
g22888,32,36
g22889,6,2
g22890,99,55
g22891,463,311
g22892,285,262
g22893,3,1
g22894,3364,2034
g22895,566,509
g22896,266,292
g22897,18,23
g22898,814,654
g22899,1,0
g22900,0,0
g22901,2,0
g22902,459,355
g22903,22,10
g22904,1,0
g22905,0,0
g22906,0,0
g22907,0,0
g22908,1,0
g22909,0,0
g22910,0,0
g22911,0,0
g22912,108,67
g22913,274,187
g22914,395,265
g22915,23,19
g22916,822,404
g22917,883,796
g22918,79,73
g22919,81,59
g22920,24,15
g22921,430,358
g22922,482,437
g22923,10,7
g22924,18,20
g22925,44,45
g22926,7,7
g22927,31,22
g22928,0,0
g22929,1,0
g22930,0,0
g22931,0,0
g22932,1257,1135
g22933,5,6
g22934,791,550
g22935,0,0
g22936,0,0
g22937,37,35
g22938,876,657
g22939,9,5
g22940,1,2
g22941,0,0
g22942,0,0
g22943,0,1
g22944,654,666
g22945,32,41
g22946,592,439
g22947,356,216
g22948,8,4
g22949,1,0
g22950,5,2
g22951,667,559
g22952,151,134
g22953,181,151
g22954,149,93
g22955,0,0
g22956,0,0
g22957,1,0
g22958,571,498
g22959,0,0
g22960,0,0
g22961,0,0
g22962,0,0
g22963,0,0
g22964,0,0
g22965,309,250
g22966,0,0
g22967,3007,2576
g22968,152,128
g22969,66,64
g22970,170,175
g22971,0,0
g22972,0,0
g22973,2,1
g22974,180,137
g22975,1003,871
g22976,4637,4264
g22977,47,37
g22978,0,0
g22979,15,14
g22980,4,3
g22981,123,114
g22982,95,94
g22983,246,133
g22984,2,0
g22985,2,2
g22986,1,0
g22987,754,720
g22988,12,6
g22989,681,576
g22990,2,3
g22991,504,409
g22992,380,288
g22993,2,0
g22994,229,220
g22995,5,2
g22996,41,23
g22997,16,15
g22998,98,83
g22999,2,14
g23000,5907,3895
g23001,3384,2203
g23002,1587,1365
g23003,152,213
g23004,0,0
g23005,44,36
g23006,2,3
g23007,0,0
g23008,308,210
g23009,164,109
g23010,7962,5157
g23011,4,3
g23012,0,0
g23013,0,0
g23014,0,0
g23015,0,0
g23016,0,0
g23017,0,0
g23018,0,0
g23019,0,0
g23020,40,62
g23021,7,1
g23022,0,0
g23023,3,1
g23024,0,0
g23025,0,0
g23026,16,0
g23027,0,0
g23028,0,0
g23029,0,0
g23030,0,0
g23031,0,0
g23032,22,3
g23033,0,0
g23034,25,17
g23035,12,10
g23036,14,4
g23037,0,0
g23038,0,0
g23039,0,0
g23040,0,0
g23041,0,0
g23042,0,0
g23043,0,0
g23044,0,0
g23045,0,0
g23046,0,0
g23047,0,0
g23048,0,0
g23049,0,0
g23050,0,0
g23051,0,0
g23052,0,0
g23053,0,0
g23054,0,0
g23055,0,0
g23056,0,0
g23057,0,0
g23058,0,0
g23059,0,0
g23060,0,0
g23061,0,0
g23062,0,0
g23063,0,0
g23064,0,0
g23065,0,0
g23066,0,0
g23067,0,0
g23068,0,0
