,mut_NB_f4,mut_NB_f5
g00993,0,0
g00994,11,33
g00995,40,59
g00996,0,0
g00997,1,0
g00998,2,3
g00999,5,1
g01000,669,357
g01001,128,69
g01002,6,0
g01003,0,0
g01004,3,2
g01005,1601,1348
g01006,128,159
g01007,1201,872
g01008,16,27
g01009,2,0
g01010,378,354
g01011,0,0
g01012,509,443
g01013,1,0
g01014,262,188
g01015,1613,1218
g01016,2664,1851
g01017,374,398
g01018,1719,1885
g01019,1,0
g01020,0,0
g01021,0,0
g01022,3,0
g01023,29,28
g01024,534,446
g01025,223,268
g01026,300,287
g01027,2147,2094
g01028,924,815
g01029,56,55
g01030,17,2
g01031,1795,1665
g01032,96,89
g01033,233,276
g01034,5,8
g01035,0,0
g01036,4,3
g01037,6,5
g01038,0,0
g01039,25,45
g01040,0,0
g01041,315,282
g01042,5,16
g01043,2,0
g01044,73,92
g01045,23,16
g01046,7,13
g01047,102,136
g01048,223,188
g01049,842,826
g01050,0,1
g01051,10,9
g01052,0,0
g01053,1137,1157
g01054,9,10
g01055,64,38
g01056,1055,723
g01057,10,7
g01058,4,2
g01059,133,74
g01060,20,16
g01061,165,146
g01062,1,3
g01063,0,0
g01064,714,920
g01065,2,0
g01066,6,4
g01067,0,1
g01068,821,730
g01069,0,0
g01070,147,136
g01071,10,23
g01072,2,2
g01073,15,49
g01074,0,0
g01075,0,3
g01076,131,147
g01077,190,194
g01078,0,0
g01079,0,0
g01080,4412,4402
g01081,0,0
g01082,14,9
g01083,6329,4309
g01084,4,14
g01085,22,12
g01086,1,0
g01087,32,59
g01088,76,34
g01089,0,0
g01090,134,120
g01091,444,335
g01092,58,36
g01093,13,15
g01094,0,2
g01095,1,0
g01096,0,0
g01097,0,0
g01098,0,3
g01099,3097,2780
g01100,173,226
g01101,2194,1864
g01102,118,63
g01103,69,70
g01104,38,26
g01105,0,0
g01106,4,1
g01107,0,0
g01108,0,0
g01109,1,0
g01110,2943,2297
g01111,56,57
g01112,43,21
g01113,239,248
g01114,101,85
g01115,3,0
g01116,101,68
g01117,15,0
g01118,11,6
g01119,0,0
g01120,194,142
g01121,71,55
g01122,347,297
g01123,3,1
g01124,0,0
g01125,0,0
g01126,12,18
g01127,38,30
g01128,266,199
g01129,1605,1372
g01130,0,0
g01131,0,0
g01132,0,0
g01133,0,1
g01134,7,8
g01135,1404,1486
g01136,423,392
g01137,59,47
g01138,290,303
g01139,319,209
g01140,0,0
g01141,0,0
g01142,4,4
g01143,3,3
g01144,253,170
g01145,14,14
g01146,3,5
g01147,3,7
g01148,2,0
g01149,0,0
g01150,2885,2575
g01151,13,19
g01152,2354,917
g01153,115,122
g01154,217,207
g01155,0,0
g01156,1,3
g01157,4,1
g01158,23,24
g01159,1,0
g01160,15,15
g01161,41,105
g01162,955,912
g01163,136,96
g01164,2,2
g01165,1,0
g01166,22,14
g01167,2,0
g01168,65,34
g01169,1,1
g01170,445,440
g01171,6,1
g01172,0,0
g01173,8,7
g01174,123,109
g01175,0,1
g01176,49,36
g01177,1088,786
g01178,10,8
g01179,157,118
g01180,121,98
g01181,120,80
g01182,392,404
g01183,190,196
g01184,1,0
g01185,321,264
g01186,506,380
g01187,75,100
g01188,25,25
g01189,9058,6294
g01190,238,270
g01191,204,168
g01192,5,12
g01193,1725,1483
g01194,39,25
g01195,0,0
g01196,12,6
g01197,1,2
g01198,2,2
g01199,5,2
g01200,0,0
g01201,0,0
g01202,14,7
g01203,0,3
g01204,0,0
g01205,0,0
g01206,408,267
g01207,5,21
g01208,1127,1134
g01209,2515,2420
g01210,512,470
g01211,439,399
g01212,1049,781
g01213,454,453
g01214,17,7
g01215,0,1
g01216,7,5
g01217,82,47
g01218,0,0
g01219,2,0
g01220,1084,763
g01221,569,290
g01222,3,7
g01223,894,700
g01224,1266,632
g01225,3,1
g01226,2,2
g01227,2,3
g01228,0,0
g01229,0,0
g01230,5,5
g01231,0,1
g01232,0,0
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,0,0
g01240,0,0
g01241,0,0
g01242,0,1
g01243,6,8
g01244,5,17
g01245,0,0
g01246,0,0
g01247,0,0
g01248,0,0
g01249,0,0
g01250,0,0
g01251,28,11
g01252,137,55
g01253,0,17
g01254,0,126
g01255,9,7
g01256,0,1
g01257,0,7
g01258,148,213
g01259,0,0
g01260,0,1
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,1
g01267,0,0
g01268,0,0
g01269,0,0
g01270,0,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,1,0
g01276,6,3
g01277,6,3
g01278,32,20
g01279,369,323
g01280,0,0
g01281,37,26
g01282,97,83
g01283,0,0
g01284,21,15
g01285,0,0
g01286,52,59
g01287,0,0
g01288,67,46
g01289,4,5
g01290,17,12
g01291,150,79
g01292,1,1
g01293,1,0
g01294,323,267
g01295,3,2
g01296,0,0
g01297,208,172
g01298,4,9
g01299,0,0
g01300,13,9
g01301,1,1
g01302,79,59
g01303,2273,2197
g01304,6,6
g01305,53,45
g01306,171,125
g01307,26,31
g01308,1684,1271
g01309,66,60
g01310,809,777
g01311,0,0
g01312,497,486
g01313,50,37
g01314,36,28
g01315,19,26
g01316,1068,1380
g01317,3,4
g01318,899,758
g01319,733,375
g01320,0,0
g01321,1069,825
g01322,32,29
g01323,447,361
g01324,412,355
g01325,1,0
g01326,0,1
g01327,34,21
g01328,155,99
g01329,29,18
g01330,789,539
g01331,27,13
g01332,1,1
g01333,412,304
g01334,320,184
g01335,8128,4377
g01336,16,5
g01337,0,0
g01338,0,0
g01339,12,3
g01340,493,392
g01341,0,0
g01342,2213,2088
g01343,220,114
g01344,0,0
g01345,5328,3553
g01346,46,18
g01347,808,628
g01348,1347,887
g01349,263,204
g01350,1,0
g01351,0,0
g01352,12,3
g01353,28,8
g01354,127,71
g01355,402,359
g01356,96,84
g01357,1145,863
g01358,162,130
g01359,5,1
g01360,3,1
g01361,19,28
g01362,0,0
g01363,0,0
g01364,3,3
g01365,1,0
g01366,207,211
g01367,1,0
g01368,2,8
g01369,227,181
g01370,1303,983
g01371,0,0
g01372,1321,1084
g01373,2,0
g01374,2,1
g01375,252,131
g01376,1944,2099
g01377,0,1
g01378,0,0
g01379,0,1
g01380,0,0
g01381,11,36
