,het_E17.5_f5,het_E17.5_f4
g00985,50,47
g00986,1264,1232
g00987,4235,4166
g00988,6,3
g00989,1,9
g00990,1206,1205
g00991,3373,3361
g00992,6,4
g00993,5,2
g00994,93,93
g00995,336,285
g00996,2,4
g00997,4,2
g00998,2,0
g00999,1,0
g01000,1617,1473
g01001,278,261
g01002,1,1
g01003,0,1
g01004,59,48
g01005,681,785
g01006,173,193
g01007,911,850
g01008,270,253
g01009,12,11
g01010,451,364
g01011,0,0
g01012,480,415
g01013,0,1
g01014,161,153
g01015,900,1050
g01016,2617,2161
g01017,580,424
g01018,1903,1646
g01019,2,2
g01020,9,7
g01021,2,0
g01022,2,3
g01023,395,323
g01024,642,593
g01025,178,211
g01026,187,208
g01027,1471,1328
g01028,958,800
g01029,480,369
g01030,1,3
g01031,973,976
g01032,372,321
g01033,157,190
g01034,332,333
g01035,0,0
g01036,8,8
g01037,15,13
g01038,0,0
g01039,1980,2127
g01040,1,0
g01041,308,317
g01042,9,5
g01043,1,1
g01044,249,220
g01045,53,51
g01046,34,27
g01047,227,193
g01048,516,423
g01049,736,660
g01050,3,3
g01051,18,12
g01052,0,0
g01053,1148,1079
g01054,11,3
g01055,247,225
g01056,2436,2207
g01057,22,24
g01058,6,11
g01059,197,157
g01060,65,74
g01061,426,305
g01062,2,2
g01063,0,0
g01064,917,826
g01065,1,0
g01066,7,6
g01067,1,0
g01068,885,883
g01069,2,0
g01070,270,256
g01071,93,104
g01072,9,3
g01073,2050,1478
g01074,1,3
g01075,12,8
g01076,195,192
g01077,225,265
g01078,2,3
g01079,1,0
g01080,4882,3917
g01081,0,4
g01082,305,278
g01083,3964,3258
g01084,3,3
g01085,5,5
g01086,0,1
g01087,2600,2341
g01088,273,238
g01089,1,0
g01090,667,593
g01091,376,335
g01092,257,189
g01093,43,36
g01094,11,7
g01095,9,8
g01096,7,15
g01097,1,3
g01098,14,8
g01099,1153,1113
g01100,82,76
g01101,1346,1193
g01102,249,181
g01103,138,90
g01104,4369,3834
g01105,0,2
g01106,2,0
g01107,0,0
g01108,0,0
g01109,0,0
g01110,1215,1077
g01111,344,302
g01112,120,106
g01113,597,544
g01114,290,260
g01115,4,3
g01116,255,288
g01117,8,15
g01118,437,357
g01119,3,0
g01120,261,231
g01121,136,96
g01122,633,561
g01123,489,431
g01124,0,1
g01125,0,0
g01126,143,129
g01127,48,41
g01128,360,348
g01129,1267,1133
g01130,0,1
g01131,0,1
g01132,0,0
g01133,2,1
g01134,70,55
g01135,925,1042
g01136,756,596
g01137,107,89
g01138,276,252
g01139,631,575
g01140,1,0
g01141,0,0
g01142,149,98
g01143,16,17
g01144,666,665
g01145,365,325
g01146,430,363
g01147,320,270
g01148,28,26
g01149,0,0
g01150,535,540
g01151,16,17
g01152,2594,2208
g01153,555,502
g01154,255,252
g01155,0,1
g01156,9,2
g01157,3,5
g01158,23,23
g01159,2,4
g01160,19,16
g01161,519,415
g01162,873,703
g01163,257,207
g01164,2,0
g01165,0,0
g01166,81,74
g01167,16,7
g01168,385,409
g01169,16,4
g01170,1386,1223
g01171,207,162
g01172,45,29
g01173,19,21
g01174,332,270
g01175,6,2
g01176,609,392
g01177,1890,1533
g01178,455,428
g01179,295,229
g01180,258,200
g01181,404,330
g01182,492,467
g01183,232,231
g01184,16,10
g01185,366,324
g01186,341,323
g01187,101,48
g01188,30,23
g01189,1549,2072
g01190,170,154
g01191,336,308
g01192,7,9
g01193,803,775
g01194,86,58
g01195,0,0
g01196,42,22
g01197,22,14
g01198,4,5
g01199,34,44
g01200,0,0
g01201,1,3
g01202,63,40
g01203,2,3
g01204,0,0
g01205,0,0
g01206,324,268
g01207,8,8
g01208,1104,765
g01209,6100,5024
g01210,1283,1003
g01211,1088,906
g01212,1555,1499
g01213,824,722
g01214,1654,1174
g01215,4,0
g01216,535,618
g01217,342,353
g01218,1,1
g01219,17,9
g01220,708,606
g01221,739,634
g01222,10,3
g01223,978,1052
g01224,1703,1305
g01225,18,15
g01226,10,1
g01227,13,16
g01228,2,1
g01229,0,0
g01230,146,82
g01231,1,0
g01232,0,1
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,1,7
g01240,0,0
g01241,0,0
g01242,17,11
g01243,130,109
g01244,59,50
g01245,3,1
g01246,1,0
g01247,1,1
g01248,5,9
g01249,5,1
g01250,0,0
g01251,118,82
g01252,59,66
g01253,4,9
g01254,2,0
g01255,54,45
g01256,7,12
g01257,29,22
g01258,63,58
g01259,8,3
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,0
g01267,0,0
g01268,0,0
g01269,31,58
g01270,0,0
g01271,1,0
g01272,0,0
g01273,2,0
g01274,0,0
g01275,0,0
g01276,73,72
g01277,744,607
g01278,11,6
g01279,887,704
g01280,8,7
g01281,80,65
g01282,203,188
g01283,1,1
g01284,373,269
g01285,13,10
g01286,1672,1315
g01287,2,3
g01288,258,243
g01289,42,32
g01290,459,375
g01291,568,440
g01292,34,20
g01293,1,1
g01294,759,639
g01295,0,0
g01296,0,3
g01297,589,547
g01298,10,7
g01299,1,0
g01300,8,9
g01301,6,6
g01302,273,216
g01303,4681,4415
g01304,29,19
g01305,151,199
g01306,157,162
g01307,61,40
g01308,943,908
g01309,460,338
g01310,1920,1673
g01311,1,0
g01312,1273,1093
g01313,309,279
g01314,340,250
g01315,18,15
g01316,761,823
g01317,57,75
g01318,1906,1592
g01319,295,305
g01320,1,0
g01321,1025,904
g01322,40,41
g01323,523,455
g01324,486,455
g01325,1,1
g01326,0,0
g01327,94,116
g01328,379,379
g01329,33,37
g01330,375,403
g01331,235,203
g01332,0,0
g01333,602,489
g01334,375,372
g01335,2178,2272
g01336,22,22
g01337,0,3
g01338,0,0
g01339,50,44
g01340,1242,1045
g01341,0,0
g01342,1690,1621
g01343,287,238
g01344,0,0
g01345,1547,1462
g01346,9,8
g01347,639,589
g01348,709,550
g01349,1350,1306
g01350,0,2
g01351,0,0
g01352,64,45
g01353,87,76
g01354,644,558
g01355,390,416
g01356,370,312
g01357,2034,1708
g01358,182,187
g01359,0,6
g01360,10,11
g01361,439,264
g01362,1,0
g01363,0,0
g01364,88,98
g01365,2,1
g01366,604,507
g01367,5,2
g01368,506,470
g01369,499,432
g01370,1032,886
g01371,0,0
g01372,1151,1017
g01373,0,1
g01374,6,3
g01375,378,270
g01376,3673,2977
g01377,7,2
g01378,1,2
g01379,8,5
g01380,0,0
g01381,83,61
g01382,377,320
g01383,227,206
g01384,0,0
g01385,6,1
g01386,1,1
g01387,373,356
g01388,58,49
g01389,34,22
g01390,1,2
g01391,6,4
g01392,652,582
g01393,62,64
g01394,8,5
g01395,3,2
g01396,1840,1364
g01397,1102,1070
g01398,543,465
g01399,98,47
g01400,6,3
g01401,392,344
g01402,561,454
g01403,365,259
g01404,242,201
g01405,70,70
g01406,0,0
g01407,63,62
g01408,217,189
g01409,8,5
g01410,0,1
g01411,81,72
g01412,14,7
g01413,369,362
g01414,567,571
g01415,484,398
g01416,968,925
g01417,1,0
g01418,573,471
g01419,883,737
g01420,772,662
g01421,304,311
g01422,145,180
g01423,907,1002
g01424,4,3
g01425,148,120
g01426,0,0
g01427,6,11
g01428,261,203
g01429,56,50
g01430,9,15
g01431,90,99
g01432,1,0
g01433,0,1
g01434,188,133
g01435,17,11
g01436,47,34
g01437,264,287
g01438,1406,1312
g01439,162,131
g01440,310,261
g01441,8,14
g01442,126,160
g01443,126,160
g01444,889,995
g01445,40,49
g01446,0,1
g01447,1,1
g01448,1209,1071
g01449,0,0
