,wt_NB_f5,wt_NB_f4
g01432,0,0
g01433,0,0
g01434,30,16
g01435,3,3
g01436,0,9
g01437,149,147
g01438,1974,2048
g01439,169,169
g01440,38,47
g01441,1,10
g01442,5,0
g01443,5,0
g01444,276,397
g01445,5,14
g01446,2,0
g01447,0,3
g01448,1791,2090
g01449,0,0
g01450,34,26
g01451,2,7
g01452,18,14
g01453,0,2
g01454,0,1
g01455,8,9
g01456,146,156
g01457,0,2
g01458,0,0
g01459,0,0
g01460,1855,1564
g01461,224,235
g01462,0,5
g01463,1854,1768
g01464,39,26
g01465,45,46
g01466,49,74
g01467,30,39
g01468,55,39
g01469,0,2
g01470,8,9
g01471,730,841
g01472,0,0
g01473,0,0
g01474,21,13
g01475,27,37
g01476,2,0
g01477,0,0
g01478,2,0
g01479,9,10
g01480,165,160
g01481,6,1
g01482,30,32
g01483,207,231
g01484,13,17
g01485,70,57
g01486,18,16
g01487,1150,1040
g01488,442,452
g01489,289,373
g01490,54,85
g01491,445,547
g01492,1,1
g01493,0,0
g01494,2833,2955
g01495,208,205
g01496,816,1124
g01497,5,4
g01498,31,26
g01499,0,0
g01500,775,877
g01501,0,0
g01502,12,15
g01503,1,0
g01504,0,0
g01505,0,0
g01506,312,462
g01507,148,144
g01508,13,10
g01509,1953,2750
g01510,3,7
g01511,197,203
g01512,403,306
g01513,1943,1325
g01514,166,133
g01515,0,0
g01516,381,347
g01517,208,214
g01518,379,350
g01519,364,553
g01520,120,99
g01521,144,151
g01522,973,929
g01523,76,53
g01524,134,55
g01525,0,1
g01526,265,270
g01527,1,0
g01528,0,0
g01529,0,0
g01530,183,72
g01531,2493,2382
g01532,3,4
g01533,2031,3264
g01534,150,174
g01535,593,534
g01536,1,2
g01537,47,44
g01538,1773,1113
g01539,1716,2095
g01540,5,5
g01541,0,0
g01542,0,2
g01543,55613,65602
g01544,78,107
g01545,0,0
g01546,0,2
g01547,725,670
g01548,38,139
g01549,5,6
g01550,3,5
g01551,279,283
g01552,216,259
g01553,1008,1472
g01554,22,14
g01555,8,10
g01556,1235,1064
g01557,7,8
g01558,4,9
g01559,81,79
g01560,2,2
g01561,6,5
g01562,7,4
g01563,521,635
g01564,108,118
g01565,0,0
g01566,0,0
g01567,0,0
g01568,0,0
g01569,854,1006
g01570,0,0
g01571,2,10
g01572,0,0
g01573,3,0
g01574,2,4
g01575,1,0
g01576,0,0
g01577,38,38
g01578,53,47
g01579,0,0
g01580,0,0
g01581,0,0
g01582,1,0
g01583,45,42
g01584,0,1
g01585,22,13
g01586,18,24
