,wt_NB_f5,wt_NB_f4
g22702,1,1
g22703,5,4
g22704,0,0
g22705,5,0
g22706,75,128
g22707,193,183
g22708,18,7
g22709,0,0
g22710,0,0
g22711,0,1
g22712,0,0
g22713,3,2
g22714,0,0
g22715,2,0
g22716,44,61
g22717,251,223
g22718,88,57
g22719,0,0
g22720,1,1
g22721,0,0
g22722,6,4
g22723,713,602
g22724,68,45
g22725,33,38
g22726,1,0
g22727,0,0
g22728,0,0
g22729,0,0
g22730,51,57
g22731,1,0
g22732,0,1
g22733,0,1
g22734,0,0
g22735,0,0
g22736,0,0
g22737,0,0
g22738,0,0
g22739,0,0
g22740,0,0
g22741,0,0
g22742,0,0
g22743,0,0
g22744,0,0
g22745,0,0
g22746,0,0
g22747,0,0
g22748,0,0
g22749,0,0
g22750,0,0
g22751,10,5
g22752,2541,3237
g22753,717,862
g22754,1,0
g22755,0,0
g22756,119,134
g22757,599,501
g22758,21,9
g22759,691,809
g22760,3,1
g22761,0,1
g22762,0,1
g22763,35,63
g22764,5,8
g22765,273,403
g22766,16,14
g22767,75,67
g22768,1,0
g22769,39,69
g22770,5162,6197
g22771,106,180
g22772,2335,4294
g22773,184,158
g22774,4244,4427
g22775,1529,1754
g22776,35,61
g22777,68,100
g22778,670,1047
g22779,10,10
g22780,632,748
g22781,220,547
g22782,0,4
g22783,0,0
g22784,0,0
g22785,271,310
g22786,72,60
g22787,4064,5219
g22788,1000,1171
g22789,780,537
g22790,142,147
g22791,1,2
g22792,1,2
g22793,36,40
g22794,33,41
g22795,898,794
g22796,12,11
g22797,390,552
g22798,6,9
g22799,158,115
g22800,35,52
g22801,28,19
g22802,161,140
g22803,393,261
g22804,55,31
g22805,9,16
g22806,2,2
g22807,5,2
g22808,0,0
g22809,113,58
g22810,2877,3350
g22811,68,30
g22812,1,0
g22813,756,976
g22814,90,77
g22815,0,0
g22816,0,0
g22817,0,0
g22818,0,0
g22819,0,0
g22820,0,0
g22821,0,0
g22822,0,0
g22823,0,0
g22824,0,0
g22825,1,0
g22826,58,86
g22827,12972,16886
g22828,42,67
g22829,52,77
g22830,43,60
g22831,5,9
g22832,63,79
g22833,5,3
g22834,4,2
g22835,14541,12745
g22836,1365,1265
g22837,4635,4099
g22838,0,0
g22839,143,103
g22840,0,0
g22841,0,0
g22842,0,1
g22843,32,55
g22844,4,2
g22845,24,26
g22846,457,419
g22847,124,119
g22848,3,0
g22849,12,6
g22850,1732,1482
g22851,0,1
g22852,165,204
g22853,72,65
g22854,21,28
g22855,734,651
g22856,1067,1560
g22857,1,1
g22858,13,11
g22859,96,87
g22860,2388,2677
g22861,0,0
g22862,2,4
g22863,20,16
g22864,2087,2025
g22865,0,0
g22866,13,4
g22867,1421,1736
g22868,1098,1224
g22869,17,28
g22870,75,95
g22871,1395,1798
g22872,0,0
g22873,0,1
g22874,0,0
g22875,0,0
g22876,184,250
g22877,93,131
g22878,359,315
g22879,1,2
g22880,463,133
g22881,3,2
g22882,0,0
g22883,0,0
g22884,0,0
g22885,578,716
g22886,0,0
g22887,355,519
g22888,45,36
g22889,2,4
g22890,65,76
g22891,280,403
g22892,331,268
g22893,3,3
g22894,1833,2938
g22895,543,484
g22896,263,209
g22897,16,14
g22898,765,718
g22899,1,0
g22900,0,0
g22901,4,1
g22902,316,367
g22903,8,12
g22904,0,0
g22905,0,0
g22906,0,0
g22907,0,0
g22908,0,0
g22909,0,0
g22910,0,0
g22911,0,0
g22912,96,117
g22913,263,258
g22914,335,372
g22915,24,28
g22916,380,655
g22917,753,705
g22918,64,68
g22919,66,77
g22920,13,24
g22921,380,388
g22922,535,356
g22923,6,11
g22924,27,24
g22925,29,37
g22926,4,1
g22927,23,8
g22928,0,0
g22929,0,0
g22930,0,1
g22931,0,0
g22932,1305,1184
g22933,5,3
g22934,580,622
g22935,0,0
g22936,1,2
g22937,28,28
g22938,695,724
g22939,3,4
g22940,1,3
g22941,0,0
g22942,0,0
g22943,1,0
g22944,392,619
g22945,22,45
g22946,394,444
g22947,161,264
g22948,4,4
g22949,0,0
g22950,2,3
g22951,592,644
g22952,175,178
g22953,160,193
g22954,96,96
g22955,0,0
g22956,0,0
g22957,0,1
g22958,551,492
g22959,1,0
g22960,0,0
g22961,0,2
g22962,0,0
g22963,0,2
g22964,0,0
g22965,276,260
g22966,0,0
g22967,3058,2599
g22968,151,104
g22969,66,66
g22970,194,287
g22971,0,0
g22972,0,0
g22973,2,3
g22974,154,125
g22975,1010,956
g22976,4112,3891
g22977,45,40
g22978,0,1
g22979,19,10
g22980,0,2
g22981,102,120
g22982,94,76
g22983,188,169
g22984,0,0
g22985,0,1
g22986,1,0
g22987,925,802
g22988,1,5
g22989,700,757
g22990,0,0
g22991,471,491
g22992,269,296
g22993,0,2
g22994,274,200
g22995,2,2
g22996,29,27
g22997,20,7
g22998,60,86
g22999,13,11
g23000,3017,5573
g23001,1654,3259
g23002,1059,1518
g23003,292,130
g23004,0,1
g23005,22,46
g23006,6,0
g23007,0,0
g23008,240,239
g23009,199,177
g23010,6347,6741
g23011,4,2
g23012,0,0
g23013,0,0
g23014,0,0
g23015,0,0
g23016,0,0
g23017,0,0
g23018,0,0
g23019,0,0
g23020,14,26
g23021,6,7
g23022,0,0
g23023,0,1
g23024,0,0
g23025,0,0
g23026,1,2
g23027,0,0
g23028,0,0
g23029,0,0
g23030,0,0
g23031,0,0
g23032,13,18
g23033,0,0
g23034,27,17
g23035,6,3
g23036,9,8
g23037,0,2
g23038,0,0
g23039,0,0
g23040,0,0
g23041,0,0
g23042,0,0
g23043,0,0
g23044,0,0
g23045,0,0
g23046,0,0
g23047,0,0
g23048,0,0
g23049,0,0
g23050,0,0
g23051,0,0
g23052,0,0
g23053,0,0
g23054,0,0
g23055,0,0
g23056,0,0
g23057,0,0
g23058,0,0
g23059,0,0
g23060,0,0
g23061,0,0
g23062,0,0
g23063,0,0
g23064,0,0
g23065,0,0
g23066,0,0
g23067,0,0
g23068,0,0
g23069,0,0
g23070,0,0
g23071,0,0
g23072,0,0
g23073,438,696
g23074,0,0
g23075,0,0
g23076,0,0
g23077,0,0
g23078,0,0
g23079,0,0
g23080,0,0
g23081,0,0
g23082,0,1
g23083,0,0
g23084,4,0
g23085,190,190
g23086,2,1
g23087,14,18
g23088,106,110
g23089,417,365
g23090,953,471
g23091,2,2
g23092,227,200
g23093,3,1
g23094,66,85
g23095,75,76
g23096,254,255
g23097,52,70
g23098,50,24
g23099,9,6
g23100,588,616
g23101,295,344
g23102,349,417
g23103,5,19
g23104,16,30
g23105,1398,1427
g23106,3,6
g23107,0,0
g23108,0,0
g23109,0,0
g23110,463,387
g23111,133,99
g23112,378,394
g23113,38,52
g23114,1,2
g23115,0,0
g23116,835,615
g23117,15,7
g23118,1,1
g23119,0,0
g23120,0,0
g23121,0,0
g23122,3,1
g23123,312,299
g23124,263,237
g23125,1,1
g23126,168,304
g23127,118,138
g23128,2,1
g23129,119,141
g23130,7,15
g23131,838,841
g23132,114,92
g23133,64,73
g23134,51,38
g23135,548,551
g23136,43,55
g23137,11,15
g23138,65,37
g23139,445,421
g23140,15,20
g23141,100,82
g23142,62,52
g23143,1056,1346
g23144,1874,2646
g23145,132,198
g23146,74,56
g23147,0,1
g23148,146,118
g23149,1127,931
g23150,171,230
g23151,48,52
g23152,33,34
g23153,5748,8019
g23154,563,716
g23155,0,0
g23156,2,2
g23157,230,199
g23158,0,0
g23159,0,0
g23160,0,0
g23161,0,0
g23162,0,0
g23163,0,0
g23164,0,0
g23165,2,2
g23166,0,0
g23167,1,4
g23168,0,0
g23169,19,20
g23170,0,2
g23171,233,196
g23172,237,187
g23173,1,7
g23174,0,0
g23175,6,4
g23176,0,0
g23177,0,1
g23178,0,0
g23179,153,135
g23180,11,22
g23181,3,4
g23182,0,0
g23183,9,6
g23184,431,480
g23185,81,78
g23186,119,120
g23187,0,0
g23188,181,185
g23189,2,1
g23190,13,10
g23191,319,323
g23192,5,7
g23193,710,741
g23194,1186,977
g23195,0,0
g23196,0,0
g23197,16,32
g23198,68,56
g23199,700,646
g23200,717,842
g23201,36,42
g23202,288,277
g23203,66,49
g23204,836,622
g23205,6,8
g23206,1006,1656
g23207,1,5
g23208,1,0
g23209,179,129
g23210,250,119
g23211,35,34
g23212,346,435
g23213,0,0
g23214,20,14
g23215,1,1
g23216,0,0
g23217,94,64
g23218,0,0
g23219,5,2
g23220,6,3
g23221,68,66
g23222,94,41
g23223,355,322
g23224,693,755
g23225,98,108
g23226,0,0
g23227,0,0
g23228,0,0
g23229,0,0
g23230,0,0
g23231,60,75
g23232,16,3
g23233,1727,1562
g23234,250,212
g23235,1,0
g23236,941,821
g23237,727,996
g23238,277,246
g23239,0,0
g23240,0,0
g23241,0,0
g23242,0,0
g23243,0,0
g23244,0,0
g23245,0,0
g23246,0,0
g23247,0,0
g23248,1836,1475
g23249,57,61
g23250,0,0
g23251,0,0
g23252,0,0
g23253,0,0
g23254,0,0
g23255,32,7
g23256,1,0
g23257,2,0
g23258,0,0
g23259,10,11
g23260,0,0
g23261,1,0
g23262,8,5
g23263,0,0
g23264,7,11
g23265,216,171
g23266,16,44
g23267,4,4
g23268,19,19
g23269,71,68
g23270,377,293
g23271,0,0
g23272,7218,6107
g23273,42,21
g23274,72,36
g23275,31,28
g23276,5,4
g23277,128,65
g23278,1,0
g23279,738,588
g23280,534,597
g23281,120,117
g23282,0,1
g23283,100,114
g23284,158,201
g23285,0,0
g23286,0,2
g23287,175,160
g23288,62,42
g23289,94,55
g23290,0,0
g23291,0,0
g23292,0,0
g23293,5,8
g23294,63,41
g23295,11,18
g23296,0,4
g23297,469,442
g23298,0,0
g23299,0,0
g23300,0,0
g23301,25,22
g23302,0,0
g23303,0,0
g23304,0,0
g23305,2,0
g23306,0,0
g23307,0,1
g23308,0,8
g23309,5,5
g23310,0,1
g23311,10,18
g23312,2,2
g23313,13,28
g23314,0,0
g23315,0,0
g23316,0,0
g23317,0,0
g23318,0,0
g23319,0,0
g23320,0,0
g23321,0,0
g23322,50,69
g23323,46,67
g23324,321,274
g23325,0,0
g23326,1,1
g23327,41,37
g23328,1,1
g23329,132,118
g23330,270,256
g23331,5,10
g23332,14,11
g23333,1,0
g23334,1,0
g23335,0,0
g23336,0,2
g23337,0,0
g23338,0,0
g23339,1601,1781
g23340,68,57
g23341,1718,1972
g23342,2,3
g23343,137,180
g23344,128,113
g23345,0,5
g23346,0,1
g23347,36,54
g23348,468,231
g23349,0,1
g23350,0,5
g23351,0,0
g23352,0,2
g23353,0,0
g23354,13,17
g23355,0,0
g23356,1111,871
g23357,1209,1558
g23358,48,48
g23359,137,98
g23360,1,0
g23361,0,0
g23362,0,0
g23363,1,1
g23364,0,0
g23365,10,5
g23366,0,1
g23367,56,21
g23368,0,0
g23369,0,0
g23370,0,0
g23371,119,78
g23372,0,1
g23373,25,43
g23374,0,0
g23375,256,216
g23376,426,541
g23377,50,57
g23378,2,3
g23379,189,180
g23380,21,15
g23381,4,4
g23382,28,40
g23383,2545,2107
g23384,674,592
g23385,29,23
g23386,51,63
g23387,2,2
g23388,23,27
g23389,0,0
g23390,0,0
g23391,78,76
g23392,4,7
g23393,203,178
g23394,84,48
g23395,324,279
g23396,1128,900
g23397,65,91
g23398,108,150
g23399,5,9
g23400,22,16
g23401,4,6
g23402,382,338
g23403,22,21
g23404,3001,2865
g23405,1,5
g23406,1269,1654
g23407,281,269
g23408,5,2
g23409,0,1
g23410,0,0
g23411,6,3
g23412,197,207
g23413,72,85
g23414,355,274
g23415,2,1
g23416,207,137
g23417,89,59
g23418,93,86
g23419,235,226
g23420,0,0
g23421,198,238
g23422,436,472
g23423,1126,804
g23424,22,19
g23425,22,19
g23426,1485,1710
g23427,10,7
g23428,235,254
g23429,163,170
g23430,1,0
g23431,6,6
g23432,147,106
g23433,132,128
g23434,288,290
g23435,2115,2112
g23436,797,1015
g23437,149,100
g23438,347,368
g23439,5,4
g23440,0,0
g23441,162,140
g23442,289,257
g23443,3716,4717
g23444,17,99
g23445,4,7
g23446,0,2
g23447,32,37
g23448,213,147
g23449,2627,2753
g23450,946,1120
g23451,52,65
g23452,975,1127
g23453,2,6
g23454,410,421
g23455,35,30
g23456,2,2
g23457,642,481
g23458,8,13
g23459,469,540
g23460,10,11
g23461,19,9
g23462,0,0
g23463,1,0
g23464,0,0
g23465,0,0
g23466,68,52
g23467,914,853
g23468,382,456
g23469,46,63
g23470,364,354
g23471,5,4
g23472,548,434
g23473,10,13
g23474,196,138
g23475,110,141
g23476,680,1092
g23477,1740,3558
g23478,60,81
g23479,3,8
g23480,3,3
g23481,15,16
g23482,443,366
g23483,21,4
g23484,0,0
g23485,296,225
g23486,539,541
g23487,961,1015
g23488,232,254
g23489,13,18
g23490,328,341
g23491,42,20
g23492,5,15
g23493,0,2
g23494,0,1
g23495,1482,1572
g23496,23,13
g23497,5,11
g23498,26,22
g23499,48,45
g23500,5,6
g23501,0,0
g23502,0,0
g23503,0,1
g23504,2418,2646
g23505,1089,1013
g23506,316,323
g23507,0,0
g23508,0,0
g23509,808,769
g23510,67,65
g23511,141,129
g23512,1376,1263
g23513,1,0
g23514,27,29
g23515,317,218
g23516,749,818
g23517,41,23
g23518,155,175
g23519,896,958
g23520,67,65
g23521,1,3
g23522,563,836
g23523,1,1
g23524,49,69
g23525,0,0
g23526,0,4
g23527,284,213
g23528,78,90
g23529,1751,2741
g23530,161,114
g23531,4,3
g23532,1,1
g23533,0,0
g23534,0,0
g23535,24,10
g23536,0,0
g23537,738,803
g23538,101,100
g23539,190,387
g23540,79,80
g23541,0,0
g23542,15,8
g23543,0,0
g23544,1,0
g23545,0,0
g23546,22,28
g23547,113,111
g23548,176,99
g23549,106,78
g23550,2,0
g23551,109,78
g23552,11,10
g23553,660,546
g23554,888,1171
g23555,1110,837
g23556,35,47
g23557,4,3
g23558,4,10
g23559,1,5
g23560,0,0
g23561,5,3
g23562,321,267
g23563,1577,1462
g23564,36,16
g23565,1306,2024
g23566,23,22
g23567,69,38
g23568,164,164
g23569,87,56
g23570,656,867
g23571,4,4
g23572,57,57
g23573,0,0
g23574,1,0
g23575,9,3
g23576,0,1
g23577,343,359
g23578,3228,2587
g23579,785,1224
g23580,1235,1690
g23581,38,64
g23582,56,63
g23583,377,417
g23584,44,79
g23585,297,297
g23586,49,62
g23587,17,13
g23588,672,558
g23589,312,254
g23590,281,217
g23591,1,1
g23592,4,2
g23593,0,0
g23594,92,114
g23595,2,2
g23596,0,0
g23597,20,32
g23598,29,29
g23599,341,192
g23600,1,0
g23601,212,242
g23602,21,15
g23603,1045,1159
g23604,29,22
g23605,30,25
g23606,2,2
g23607,1,1
g23608,10,13
g23609,18,21
g23610,9,19
g23611,7,14
g23612,4824,6818
g23613,664,966
g23614,271,308
g23615,75,93
g23616,24,25
g23617,615,1568
g23618,1456,1356
g23619,426,434
g23620,3,3
g23621,243,272
g23622,18,14
g23623,5,8
g23624,1549,1417
g23625,324,299
g23626,593,564
g23627,3717,3276
g23628,0,0
g23629,429,362
g23630,26,13
g23631,88,64
g23632,11,16
g23633,863,1292
g23634,176,287
g23635,32,38
g23636,3,15
g23637,301,363
g23638,2388,2027
g23639,2274,5594
g23640,786,811
g23641,2,42
g23642,427,413
g23643,770,969
g23644,1903,2273
g23645,373,423
g23646,292,263
g23647,6,17
g23648,161,119
g23649,155,168
g23650,169,150
g23651,474,376
g23652,16,28
g23653,0,0
g23654,0,0
g23655,1371,1466
g23656,70,73
g23657,6,3
g23658,38,40
g23659,1044,848
g23660,1750,1702
g23661,20,19
g23662,579,508
g23663,464,346
g23664,0,0
g23665,913,714
g23666,349,332
g23667,102,90
g23668,504,558
g23669,1,0
g23670,0,0
g23671,3,0
g23672,0,0
g23673,0,0
g23674,2,4
g23675,47,64
g23676,331,259
g23677,0,2
g23678,381,383
g23679,5,7
g23680,102,157
g23681,421,449
g23682,19,20
g23683,5,6
g23684,2,2
g23685,37,34
g23686,350,538
g23687,0,0
g23688,0,0
g23689,0,1
g23690,18,10
g23691,1,0
g23692,758,789
g23693,556,549
g23694,418,516
g23695,47,46
g23696,386,273
g23697,43,48
g23698,1622,1481
g23699,76,74
g23700,388,337
g23701,5,0
g23702,402,178
g23703,405,414
g23704,1939,1994
g23705,44,25
g23706,0,0
g23707,0,0
g23708,0,0
g23709,0,0
g23710,0,0
g23711,0,0
g23712,0,0
g23713,0,0
g23714,0,0
g23715,5,10
g23716,0,0
g23717,674,654
g23718,125,145
g23719,17,24
g23720,6,6
g23721,318,218
g23722,69,68
g23723,24,13
g23724,0,0
g23725,158,118
g23726,874,598
g23727,198,183
g23728,0,0
g23729,0,2
g23730,1142,1242
g23731,1,0
g23732,138,45
g23733,11,7
g23734,314,368
g23735,109,139
g23736,173,133
g23737,4,14
g23738,0,38
g23739,194,221
g23740,96,56
g23741,0,0
g23742,153,97
g23743,245,185
g23744,83,124
g23745,357,777
g23746,13,11
g23747,14,13
g23748,814,1195
g23749,5,14
g23750,2,0
g23751,296,337
g23752,693,964
g23753,0,0
g23754,0,1
g23755,91,79
g23756,113,96
g23757,54,35
g23758,154,142
g23759,4020,4400
g23760,70,83
g23761,0,0
g23762,7,12
g23763,280,279
g23764,196,202
g23765,2307,2489
g23766,34,37
g23767,0,3
g23768,222,250
g23769,417,382
g23770,0,0
g23771,4,2
g23772,0,0
g23773,10,6
g23774,0,0
g23775,57,53
g23776,0,0
g23777,0,0
g23778,15,8
g23779,2,3
g23780,2,0
g23781,173,146
g23782,16,19
g23783,29,31
g23784,1,0
g23785,0,0
g23786,0,0
g23787,16,13
g23788,195,102
g23789,1221,1126
g23790,5,9
g23791,168,207
g23792,0,1
g23793,0,0
g23794,83,38
g23795,0,1
g23796,1,5
g23797,64,57
g23798,0,0
g23799,0,0
g23800,1,2
g23801,0,5
g23802,2,0
g23803,101,60
g23804,3045,3118
g23805,6590,6066
g23806,4,14
g23807,0,4
g23808,1,0
g23809,4,5
g23810,875,1198
g23811,350,517
g23812,68,87
g23813,169,122
g23814,4,2
g23815,4,2
g23816,175,115
g23817,104,75
g23818,19,7
g23819,5,8
g23820,400,307
g23821,438,425
g23822,12,22
g23823,34,24
g23824,127,124
g23825,34,20
g23826,3,6
g23827,0,0
g23828,0,0
g23829,0,0
g23830,466,2049
g23831,203,168
g23832,13,14
g23833,1427,1543
g23834,17,17
g23835,2,3
g23836,273,49
g23837,4,2
g23838,34,43
g23839,499,629
g23840,11,11
g23841,204,176
g23842,36,46
g23843,35,43
g23844,16,25
g23845,172,309
g23846,1336,1906
g23847,1,3
g23848,183,134
g23849,197,271
g23850,25,15
g23851,2,4
g23852,710,612
g23853,1,3
g23854,133,104
g23855,2,3
g23856,44,38
g23857,7,7
g23858,91,124
g23859,0,0
g23860,6,22
g23861,223,244
g23862,108,118
g23863,935,979
g23864,3742,3263
g23865,277,323
g23866,16,21
g23867,6,9
g23868,43,35
g23869,256,311
g23870,578,504
g23871,9134,12514
g23872,261,288
g23873,1,2
g23874,50,77
g23875,2,0
g23876,302,327
g23877,3,2
g23878,8665,7230
g23879,1794,1562
g23880,103,81
g23881,233,223
g23882,512,382
g23883,323,253
g23884,56,68
g23885,459,519
g23886,99,114
g23887,186,191
g23888,194,196
g23889,1,1
g23890,122,119
g23891,5,5
g23892,902,531
g23893,5246,6309
g23894,11,13
g23895,166,126
g23896,862,853
g23897,1,5
g23898,1249,1246
g23899,0,0
g23900,18,21
g23901,0,0
g23902,0,0
g23903,4,3
g23904,0,0
g23905,727,668
g23906,54,47
g23907,0,0
g23908,56,57
g23909,111,115
g23910,1083,1101
g23911,190,185
g23912,597,588
g23913,1460,1297
g23914,3,4
g23915,107,91
g23916,66,60
g23917,0,0
g23918,0,0
g23919,35,36
g23920,2,0
g23921,70,43
g23922,4,0
g23923,0,0
g23924,169,136
g23925,309,314
g23926,949,777
g23927,1372,1192
g23928,4,5
g23929,554,501
g23930,45,51
g23931,55,69
g23932,180,123
g23933,435,489
g23934,1,0
g23935,795,564
g23936,164,158
g23937,0,1
g23938,172,238
g23939,60,57
g23940,526,443
g23941,10,12
g23942,96,96
g23943,0,0
g23944,0,0
g23945,7,13
g23946,132,104
g23947,194,294
g23948,19,8
g23949,55,36
g23950,0,0
g23951,0,0
g23952,164,226
g23953,700,648
g23954,140,172
g23955,0,1
g23956,95,156
g23957,134,156
g23958,100,133
g23959,714,616
g23960,105,154
g23961,0,2
g23962,1,1
g23963,0,1
g23964,373,419
g23965,10,7
g23966,14,18
g23967,6,29
g23968,0,0
g23969,1,2
g23970,0,0
g23971,1,1
g23972,101,75
g23973,374,309
g23974,0,0
g23975,10,22
g23976,0,0
g23977,39,35
g23978,18,16
g23979,870,797
g23980,8,10
g23981,121,98
g23982,1,2
g23983,6,12
g23984,1621,3051
g23985,857,1576
g23986,1115,1049
g23987,47,117
g23988,4662,5492
g23989,478,874
g23990,82,90
g23991,1,0
g23992,60,60
g23993,750,688
g23994,58,47
g23995,8,5
g23996,0,0
g23997,0,0
g23998,888,860
g23999,558,512
g24000,25,40
g24001,215,205
g24002,2,0
g24003,15,11
g24004,51,50
g24005,0,0
g24006,439,493
g24007,108,155
g24008,319,112
g24009,60,62
g24010,629,539
g24011,14,27
g24012,232,242
g24013,2276,2984
g24014,8,10
g24015,2064,2319
g24016,35,25
g24017,7,5
g24018,2,1
g24019,197,164
g24020,1105,1112
g24021,10,3
g24022,2,0
g24023,1,0
g24024,2,2
g24025,226,215
g24026,1,0
g24027,0,0
g24028,0,0
g24029,1,0
g24030,242,222
g24031,700,1095
g24032,263,270
g24033,12,4
g24034,210,197
g24035,0,2
g24036,552,339
g24037,0,0
g24038,1,0
g24039,113,96
g24040,10,5
g24041,376,472
g24042,0,0
g24043,507,451
g24044,1,5
g24045,78,119
g24046,812,1094
g24047,412,484
g24048,39,55
g24049,0,2
g24050,128,154
g24051,740,735
g24052,4246,4388
g24053,55,47
g24054,321,244
g24055,24,24
g24056,137,133
g24057,0,0
g24058,15,7
g24059,0,0
g24060,0,0
g24061,141,117
g24062,6,1
g24063,4602,5073
g24064,79,152
g24065,346,303
g24066,123,148
g24067,152,172
g24068,2,6
g24069,3,1
g24070,133,39
g24071,14,27
g24072,1345,1602
g24073,0,2
g24074,148,130
g24075,29,35
g24076,14,20
g24077,470,482
g24078,295,385
g24079,71,108
g24080,18,24
g24081,3579,3816
g24082,5,21
g24083,47,123
g24084,1015,989
g24085,304,294
g24086,45,53
g24087,132,105
g24088,0,0
g24089,0,0
g24090,0,0
g24091,0,0
g24092,0,0
g24093,0,0
g24094,0,0
g24095,0,0
g24096,0,0
g24097,0,0
g24098,0,0
g24099,0,0
g24100,0,0
g24101,0,0
g24102,0,0
g24103,0,0
g24104,0,0
g24105,0,0
g24106,0,0
g24107,0,0
g24108,0,0
g24109,0,0
g24110,0,0
g24111,0,0
g24112,0,0
g24113,0,0
g24114,0,0
g24115,0,0
g24116,0,0
g24117,0,0
g24118,0,0
g24119,0,0
g24120,0,0
g24121,3313,2879
g24122,0,0
g24123,121,95
g24124,0,2
g24125,21,31
g24126,258,277
g24127,248,231
g24128,440,443
g24129,89,64
g24130,379,285
g24131,2,0
g24132,638,480
g24133,204,197
g24134,11,9
g24135,29,14
g24136,324,310
g24137,3,1
g24138,76,42
g24139,1858,1695
g24140,299,330
g24141,39,30
g24142,440,854
g24143,5,5
g24144,208,122
g24145,562,504
g24146,216,263
g24147,214,204
g24148,1222,647
g24149,765,464
g24150,2,4
g24151,856,691
g24152,0,0
g24153,24,29
g24154,77,74
g24155,1,10
g24156,2,0
g24157,69,41
g24158,0,0
g24159,47,48
g24160,139,169
g24161,605,511
g24162,3211,2743
g24163,0,2
g24164,517,468
g24165,160,148
g24166,4535,4158
g24167,21,20
g24168,47,42
g24169,0,1
g24170,282,228
g24171,0,0
g24172,0,0
g24173,0,0
g24174,22,31
g24175,1,4
g24176,0,0
g24177,0,0
g24178,57,56
g24179,278,272
g24180,19,11
g24181,151,146
g24182,4,9
g24183,76,82
g24184,2,3
g24185,82,71
g24186,3,1
g24187,1,0
g24188,0,0
g24189,1,0
g24190,308,274
g24191,392,297
g24192,1,2
g24193,0,1
g24194,0,0
g24195,0,2
g24196,0,0
g24197,3,2
g24198,2,9
g24199,3,4
g24200,2,2
g24201,0,1
g24202,3921,3824
g24203,225,221
g24204,266,400
g24205,2508,2492
g24206,17,36
g24207,42,37
g24208,0,0
g24209,0,0
g24210,0,3
g24211,56,52
g24212,1,2
g24213,313,236
g24214,2,3
g24215,0,0
g24216,0,0
g24217,55,39
g24218,33,49
g24219,142,98
g24220,46,46
g24221,427,364
g24222,92,93
g24223,232,309
g24224,243,183
g24225,705,1369
g24226,0,1
g24227,353,324
g24228,2626,3472
g24229,1,0
g24230,0,2
g24231,0,0
g24232,302,252
g24233,130,130
g24234,0,0
g24235,2,0
g24236,51,76
g24237,498,1311
g24238,307,429
g24239,237,281
g24240,17,29
g24241,200,184
g24242,279,353
g24243,18,29
g24244,16,15
g24245,0,0
g24246,0,0
g24247,150,149
g24248,0,0
g24249,10,9
g24250,251,224
g24251,2,3
g24252,0,0
g24253,0,0
g24254,26,17
g24255,0,0
g24256,0,0
g24257,0,0
g24258,0,0
g24259,0,0
g24260,0,0
g24261,0,0
g24262,0,0
g24263,0,0
g24264,0,0
g24265,0,0
g24266,0,0
g24267,0,0
g24268,0,0
g24269,0,0
g24270,0,0
g24271,0,0
g24272,0,0
g24273,0,0
g24274,0,0
g24275,0,0
g24276,195,146
g24277,3,2
g24278,0,0
g24279,0,0
g24280,0,0
g24281,0,0
g24282,0,0
g24283,0,1
g24284,0,0
g24285,0,0
g24286,0,0
g24287,0,0
g24288,0,0
g24289,0,0
g24290,0,0
g24291,0,0
g24292,0,0
g24293,0,0
g24294,30,20
g24295,486,452
g24296,72,117
g24297,4117,5568
g24298,30,32
g24299,7,5
g24300,91,113
g24301,913,922
g24302,234,233
g24303,90,64
g24304,13,19
g24305,0,0
g24306,22,17
g24307,51,42
g24308,607,337
g24309,1039,971
g24310,2044,2169
g24311,173,242
g24312,331,273
g24313,28,39
g24314,3,1
g24315,1,0
g24316,3,5
g24317,0,0
g24318,1,5
g24319,76,78
g24320,343,245
g24321,197,245
g24322,1461,1033
g24323,2,1
g24324,127,114
g24325,455,490
g24326,283,577
g24327,235,331
g24328,295,320
g24329,54,95
g24330,1094,1262
g24331,2306,3082
g24332,376,241
g24333,17,9
g24334,83,58
g24335,2558,2742
g24336,3,5
g24337,100,82
g24338,1,5
g24339,655,492
g24340,559,500
g24341,353,325
g24342,3,2
g24343,0,0
g24344,2601,2102
g24345,2279,1503
g24346,20,7
g24347,38,56
g24348,1762,1952
g24349,58,65
g24350,770,890
g24351,3156,3617
g24352,109,108
g24353,7,10
g24354,151,84
g24355,69,68
g24356,5,4
g24357,1,0
g24358,0,0
g24359,486,381
g24360,8,4
g24361,61,76
g24362,46,35
g24363,205,189
g24364,5,0
g24365,11,9
g24366,272,281
g24367,195,135
g24368,99,56
g24369,1,0
g24370,1,0
g24371,70,59
g24372,11,14
g24373,116,95
g24374,0,0
g24375,59,62
g24376,14,19
g24377,169,216
g24378,58,81
g24379,0,5
g24380,0,0
g24381,37,32
g24382,0,0
g24383,0,0
g24384,7,3
g24385,342,331
g24386,903,1007
g24387,19,20
g24388,20,16
g24389,283,453
g24390,0,0
g24391,3,0
g24392,172,208
g24393,102,67
g24394,984,1127
g24395,229,297
g24396,19,11
g24397,16,19
g24398,15,14
g24399,0,0
g24400,2,2
g24401,3,9
g24402,261,267
g24403,22,67
g24404,1,3
g24405,705,673
g24406,5,3
g24407,1807,1904
g24408,1697,1597
g24409,2,1
g24410,0,0
g24411,205,146
g24412,409,471
g24413,20,20
g24414,2982,3249
g24415,2250,2311
g24416,1,5
