,mut_E14.5_f5,mut_E14.5_f4
g01132,0,0
g01133,2,8
g01134,154,121
g01135,687,735
g01136,644,694
g01137,92,105
g01138,257,188
g01139,535,526
g01140,1,2
g01141,0,0
g01142,248,299
g01143,25,28
g01144,1160,1101
g01145,333,376
g01146,306,266
g01147,242,198
g01148,565,628
g01149,23,26
g01150,422,367
g01151,16,16
g01152,2856,2768
g01153,574,625
g01154,297,289
g01155,0,0
g01156,11,4
g01157,0,1
g01158,52,44
g01159,8,5
g01160,62,51
g01161,669,539
g01162,737,730
g01163,275,294
g01164,0,3
g01165,0,1
g01166,18,13
g01167,7,9
g01168,146,128
g01169,16,11
g01170,1340,1458
g01171,152,213
g01172,49,41
g01173,16,32
g01174,356,407
g01175,10,2
g01176,194,173
g01177,1817,1904
g01178,211,167
g01179,472,403
g01180,320,300
g01181,558,519
g01182,487,541
g01183,224,267
g01184,18,16
g01185,394,434
g01186,287,347
g01187,160,117
g01188,48,48
g01189,349,222
g01190,98,77
g01191,465,647
g01192,9,12
g01193,300,231
g01194,82,109
g01195,0,3
g01196,1,3
g01197,17,10
g01198,2,2
g01199,11,27
g01200,0,0
g01201,3,1
g01202,52,42
g01203,2,1
g01204,0,0
g01205,0,1
g01206,368,383
g01207,54,55
g01208,1149,843
g01209,7117,6678
g01210,1414,1335
g01211,1410,1414
g01212,1860,1944
g01213,1661,1706
g01214,256,231
g01215,3,0
g01216,1293,1352
g01217,540,644
g01218,22,20
g01219,31,26
g01220,638,591
g01221,518,480
g01222,3,4
g01223,504,491
g01224,1120,1047
g01225,15,6
g01226,7,2
g01227,1,2
g01228,0,2
g01229,2,2
g01230,98,64
g01231,0,3
g01232,3,1
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,1
g01237,0,0
g01238,0,0
g01239,0,2
g01240,0,0
g01241,0,0
g01242,73,62
g01243,1157,1161
g01244,33,35
g01245,3,2
g01246,0,0
g01247,0,0
g01248,3,0
g01249,1,0
g01250,0,0
g01251,50,32
g01252,19,27
g01253,4,7
g01254,8,0
g01255,5,5
g01256,3,1
g01257,8,4
g01258,25,8
g01259,1,0
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,1
g01266,0,0
g01267,1,0
g01268,0,0
g01269,154,50
g01270,0,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,205,222
g01277,244,172
g01278,158,160
g01279,835,837
g01280,5,3
g01281,85,85
g01282,232,240
g01283,0,1
g01284,389,387
g01285,92,110
g01286,3210,3293
g01287,3,5
g01288,242,244
g01289,21,22
g01290,1237,1227
g01291,754,749
g01292,16,9
g01293,0,0
g01294,1041,1098
g01295,0,2
g01296,2,6
g01297,604,600
g01298,16,6
g01299,0,4
g01300,1,8
g01301,8,6
g01302,200,220
g01303,5350,5433
g01304,57,68
g01305,1023,1028
g01306,237,192
g01307,55,40
g01308,713,721
g01309,528,614
g01310,2124,2021
g01311,0,0
g01312,1736,1629
g01313,67,73
g01314,239,211
g01315,26,33
g01316,525,502
g01317,410,353
g01318,2439,2430
g01319,193,204
g01320,0,0
g01321,1003,1019
g01322,46,46
g01323,434,587
g01324,531,480
g01325,3,0
g01326,1,2
g01327,86,115
g01328,405,473
g01329,10,12
g01330,241,217
g01331,84,67
g01332,1,0
g01333,782,757
g01334,392,343
g01335,1882,1791
g01336,18,8
g01337,51,50
g01338,0,0
g01339,17,14
g01340,1127,1093
g01341,0,0
g01342,1906,1986
g01343,197,312
g01344,0,0
g01345,844,794
g01346,1,1
g01347,596,591
g01348,563,490
g01349,1591,1662
g01350,2,3
g01351,0,0
g01352,256,238
g01353,37,22
g01354,721,603
g01355,535,536
g01356,496,521
g01357,2314,2009
g01358,214,244
g01359,7,2
g01360,8,5
g01361,414,399
g01362,0,0
g01363,0,0
g01364,121,96
g01365,0,1
g01366,496,555
g01367,0,3
g01368,329,285
g01369,816,874
g01370,1124,1012
g01371,0,0
g01372,969,874
g01373,1,2
g01374,1,1
g01375,406,447
g01376,3777,3714
g01377,8,8
g01378,14,19
g01379,74,57
g01380,0,4
g01381,132,128
g01382,747,711
g01383,314,315
g01384,1,1
g01385,5,1
g01386,0,0
g01387,485,514
g01388,54,69
g01389,353,300
g01390,6,11
g01391,7,6
g01392,850,820
g01393,153,138
g01394,7,8
g01395,10,5
g01396,1473,1070
g01397,894,811
g01398,636,624
g01399,224,200
g01400,23,17
g01401,652,669
g01402,554,599
g01403,843,840
g01404,265,260
g01405,82,92
g01406,1,0
g01407,71,81
g01408,221,201
g01409,9,22
g01410,0,0
g01411,54,29
g01412,16,15
g01413,328,445
g01414,526,660
g01415,422,400
g01416,585,555
g01417,2,0
g01418,582,607
g01419,994,989
g01420,1071,1058
g01421,324,258
g01422,53,43
g01423,343,269
g01424,19,34
g01425,136,139
g01426,0,0
g01427,5,10
g01428,333,302
g01429,71,77
g01430,77,73
g01431,152,151
g01432,1,6
g01433,3,2
g01434,332,343
g01435,19,18
g01436,103,112
g01437,380,347
g01438,477,398
g01439,137,170
g01440,233,220
g01441,7,7
g01442,129,98
