,wt_E14.5_f4,wt_E14.5_f5
g01266,0,0
g01267,0,0
g01268,0,2
g01269,53,126
g01270,0,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,248,296
g01277,215,208
g01278,140,203
g01279,830,995
g01280,6,5
g01281,69,106
g01282,199,300
g01283,0,2
g01284,420,436
g01285,60,126
g01286,3174,4364
g01287,3,8
g01288,301,369
g01289,19,21
g01290,1220,1621
g01291,714,1022
g01292,9,16
g01293,1,2
g01294,1210,1377
g01295,1,1
g01296,2,3
g01297,652,753
g01298,5,13
g01299,3,0
g01300,6,8
g01301,7,14
g01302,226,279
g01303,5863,6829
g01304,64,88
g01305,945,1421
g01306,224,248
g01307,47,53
g01308,684,841
g01309,584,740
g01310,2174,2659
g01311,0,0
g01312,1633,2161
g01313,63,97
g01314,214,284
g01315,38,41
g01316,566,647
g01317,318,512
g01318,2532,2900
g01319,204,209
g01320,2,2
g01321,1020,1240
g01322,55,45
g01323,572,562
g01324,488,610
g01325,1,0
g01326,0,2
g01327,146,129
g01328,509,523
g01329,8,10
g01330,199,296
g01331,59,105
g01332,0,0
g01333,770,928
g01334,349,464
g01335,1877,2288
g01336,17,19
g01337,57,68
g01338,0,1
g01339,15,19
g01340,1160,1268
g01341,0,0
g01342,2137,2349
g01343,284,286
g01344,0,0
g01345,863,1024
g01346,0,0
g01347,636,849
g01348,535,719
g01349,1803,1843
g01350,1,1
g01351,0,0
g01352,225,372
g01353,35,37
g01354,708,787
g01355,507,629
g01356,547,539
g01357,2170,2694
g01358,225,282
g01359,10,4
g01360,15,8
g01361,360,477
g01362,1,3
g01363,1,0
g01364,114,142
g01365,3,2
g01366,526,737
g01367,2,1
g01368,282,376
g01369,726,982
g01370,1035,1317
g01371,1,1
g01372,898,1057
g01373,3,3
g01374,6,4
g01375,438,575
g01376,3878,4515
g01377,8,9
g01378,18,26
g01379,54,88
g01380,0,0
g01381,104,190
g01382,844,876
g01383,327,423
g01384,0,1
g01385,6,3
g01386,0,0
g01387,500,607
g01388,54,71
g01389,302,464
g01390,12,13
g01391,9,11
g01392,812,869
g01393,110,197
g01394,9,14
g01395,7,14
g01396,807,1764
g01397,909,1042
g01398,626,731
g01399,180,276
g01400,13,23
g01401,642,778
g01402,616,784
g01403,849,1110
g01404,293,350
g01405,93,117
g01406,0,2
g01407,97,90
g01408,232,205
g01409,26,17
g01410,0,2
g01411,62,43
g01412,13,29
g01413,391,461
g01414,597,692
g01415,402,497
g01416,575,682
g01417,0,1
g01418,638,680
g01419,985,1051
g01420,1103,1381
g01421,280,321
g01422,42,74
g01423,289,395
g01424,36,27
g01425,125,149
g01426,0,0
g01427,9,8
g01428,277,379
g01429,89,75
g01430,63,130
g01431,143,170
g01432,4,7
g01433,2,5
g01434,351,516
g01435,20,19
g01436,95,145
g01437,380,407
g01438,373,312
g01439,178,179
g01440,236,301
g01441,3,8
g01442,128,102
