,het_NB_f4,het_NB_f5
g00737,0,0
g00738,332,291
g00739,374,392
g00740,2559,2768
g00741,6,5
g00742,267,157
g00743,177,211
g00744,39,73
g00745,102,82
g00746,345,299
g00747,90,122
g00748,352,184
g00749,238,231
g00750,511,244
g00751,3,3
g00752,0,0
g00753,5,3
g00754,1960,2118
g00755,7,10
g00756,6,14
g00757,0,0
g00758,1,0
g00759,1,7
g00760,0,0
g00761,1581,839
g00762,185,161
g00763,0,0
g00764,42,55
g00765,3,3
g00766,0,0
g00767,1134,987
g00768,599,449
g00769,6,8
g00770,8,10
g00771,71,80
g00772,186,305
g00773,2,3
g00774,2,3
g00775,0,1
g00776,1,2
g00777,575,512
g00778,1,1
g00779,810,709
g00780,7,31
g00781,131,227
g00782,0,1
g00783,1252,1046
g00784,17,10
g00785,223,282
g00786,459,564
g00787,25,90
g00788,7,5
g00789,1,0
g00790,0,0
g00791,71,80
g00792,0,0
g00793,0,0
g00794,3,0
g00795,1588,1075
g00796,6476,3489
g00797,2775,1898
g00798,112,80
g00799,22,16
g00800,10,6
g00801,1,0
g00802,0,0
g00803,0,0
g00804,0,0
g00805,1,0
g00806,1848,1224
g00807,16,25
g00808,376,290
g00809,1979,1119
g00810,120,111
g00811,3268,2757
g00812,14,10
g00813,0,0
g00814,11,7
g00815,557,297
g00816,604,486
g00817,8,4
g00818,629,417
g00819,56,51
g00820,1119,1450
g00821,11,20
g00822,630,563
g00823,138,173
g00824,11,10
g00825,0,0
g00826,0,0
g00827,6,15
g00828,768,588
g00829,16,17
g00830,637,460
g00831,216,172
g00832,29,31
g00833,6,8
g00834,0,5
g00835,0,0
g00836,2,9
g00837,432,372
g00838,244,219
g00839,1155,1026
g00840,613,555
g00841,31,21
g00842,0,0
g00843,0,0
g00844,1,0
g00845,9,3
g00846,28,105
g00847,106,96
g00848,1399,1204
g00849,1196,1005
g00850,28,8
g00851,3242,3619
g00852,2,0
g00853,2,21
g00854,1,3
g00855,1,8
g00856,17,17
g00857,3594,1650
g00858,5,4
g00859,4191,1610
g00860,625,711
g00861,18,24
g00862,19,17
g00863,15,22
g00864,459,446
g00865,553,555
g00866,0,0
g00867,37,75
g00868,3626,2399
g00869,684,460
g00870,166,190
g00871,287,241
g00872,0,0
g00873,1,2
g00874,3913,4301
g00875,6,31
g00876,128,125
g00877,7,9
g00878,121,205
g00879,2,19
g00880,0,1
g00881,0,4
g00882,66,71
g00883,1,1
g00884,55,83
g00885,227,299
g00886,156,121
g00887,0,3
g00888,3,8
g00889,232,355
g00890,15,77
g00891,487,513
g00892,375,272
g00893,28,45
g00894,6822,4877
g00895,353,223
g00896,30694,29980
g00897,0,1
g00898,53,101
g00899,7,18
g00900,0,0
g00901,29,51
g00902,94,25
g00903,880,545
g00904,0,0
g00905,2,1
g00906,3758,3030
g00907,10,12
g00908,130,158
g00909,15,31
g00910,0,0
g00911,44,78
g00912,0,0
g00913,0,0
g00914,0,0
g00915,1,6
g00916,4,8
g00917,0,0
g00918,0,0
g00919,71,63
g00920,0,0
g00921,741,506
g00922,0,0
g00923,0,0
g00924,34,33
g00925,0,0
g00926,731,481
g00927,0,0
g00928,0,0
g00929,520,387
g00930,81,182
g00931,0,0
g00932,0,0
g00933,0,0
g00934,0,0
g00935,0,0
g00936,2,9
g00937,3,0
g00938,0,0
g00939,0,0
g00940,124,164
g00941,49,56
g00942,289,173
g00943,634,413
g00944,289,211
g00945,90,208
g00946,14,27
g00947,0,1
g00948,22,4
g00949,0,0
g00950,8,4
g00951,0,0
g00952,0,0
g00953,0,0
g00954,0,0
g00955,238,253
g00956,0,0
g00957,4,7
g00958,3,2
g00959,0,0
g00960,0,0
g00961,0,0
g00962,267,237
g00963,1459,1387
g00964,18,9
g00965,34,208
g00966,14,9
g00967,0,0
g00968,1981,2133
g00969,124,92
g00970,82,72
g00971,312,292
g00972,0,0
g00973,40,77
g00974,705,530
g00975,462,670
g00976,8,12
g00977,0,10
g00978,18,54
g00979,0,3
g00980,1,0
g00981,1262,834
g00982,680,457
g00983,12,18
g00984,1499,1430
g00985,27,53
g00986,298,368
g00987,244,927
g00988,0,0
g00989,3,9
g00990,707,860
g00991,5209,5175
g00992,1,1
g00993,0,1
g00994,13,27
g00995,32,49
g00996,0,0
g00997,1,0
g00998,1,1
g00999,1,1
g01000,256,452
g01001,44,92
g01002,0,0
g01003,0,0
g01004,8,13
g01005,1608,788
g01006,140,192
g01007,1086,940
g01008,13,23
g01009,0,2
g01010,252,287
g01011,0,0
g01012,474,401
g01013,0,2
g01014,236,182
g01015,1466,1131
g01016,2108,1823
g01017,335,367
g01018,1448,1219
g01019,0,0
g01020,0,0
g01021,0,0
g01022,1,1
g01023,30,55
g01024,327,486
g01025,227,139
g01026,286,280
g01027,2060,1923
g01028,809,754
g01029,48,63
g01030,7,11
g01031,1605,1345
g01032,84,102
g01033,249,272
g01034,3,26
g01035,0,0
g01036,1,1
g01037,1,2
g01038,0,0
g01039,19,137
g01040,0,0
g01041,318,301
g01042,11,9
g01043,0,0
g01044,46,89
g01045,10,23
g01046,3,6
g01047,103,126
g01048,257,216
g01049,740,558
g01050,0,1
g01051,9,6
g01052,0,0
g01053,1049,694
g01054,2,6
g01055,57,54
g01056,1011,801
g01057,12,5
g01058,7,4
g01059,144,121
g01060,11,25
g01061,125,99
g01062,0,0
g01063,0,0
g01064,638,854
g01065,1,0
g01066,4,2
g01067,0,0
g01068,793,681
g01069,1,0
g01070,122,98
g01071,5,21
g01072,0,4
g01073,13,157
g01074,0,0
g01075,1,12
g01076,95,85
g01077,163,164
g01078,0,1
g01079,0,0
g01080,2869,3806
g01081,0,0
g01082,7,20
g01083,5765,2395
g01084,8,5
g01085,7,6
g01086,0,0
g01087,31,202
g01088,54,47
g01089,0,0
g01090,106,151
g01091,310,292
g01092,46,50
g01093,8,14
g01094,0,3
g01095,0,0
g01096,0,1
g01097,0,0
g01098,0,5
g01099,2458,2292
g01100,115,176
g01101,2070,1381
g01102,93,85
g01103,64,40
g01104,23,236
g01105,0,0
g01106,3,2
g01107,0,0
g01108,0,1
g01109,0,1
g01110,2583,1822
g01111,61,59
g01112,21,27
g01113,188,280
g01114,95,123
g01115,1,2
g01116,70,121
g01117,8,6
g01118,16,31
g01119,0,0
g01120,199,101
g01121,41,68
g01122,224,309
g01123,7,6
g01124,0,0
g01125,0,0
g01126,31,34
g01127,37,40
g01128,222,189
g01129,1292,1238
g01130,0,0
g01131,0,0
g01132,0,0
g01133,0,0
g01134,1,4
g01135,1230,1637
g01136,401,375
g01137,47,46
g01138,240,190
g01139,322,230
g01140,0,1
g01141,0,0
g01142,2,2
g01143,2,5
g01144,137,238
g01145,7,25
g01146,3,62
g01147,4,43
g01148,2,1
g01149,1,1
g01150,2536,2032
g01151,18,13
g01152,1279,397
g01153,99,139
g01154,224,207
g01155,0,0
g01156,1,1
g01157,4,3
g01158,24,22
g01159,2,3
g01160,23,30
g01161,28,164
g01162,780,662
g01163,122,95
