,het_NB_f4,het_NB_f5
g22941,0,0
g22942,0,0
g22943,0,0
g22944,451,379
g22945,21,17
g22946,333,2294
g22947,214,1137
g22948,7,5
g22949,0,0
g22950,2,6
g22951,626,553
g22952,145,133
g22953,187,127
g22954,97,136
g22955,0,0
g22956,0,0
g22957,0,0
g22958,401,469
g22959,0,2
g22960,0,0
g22961,0,1
g22962,0,0
g22963,1,1
g22964,0,0
g22965,247,276
g22966,0,0
g22967,2504,2456
g22968,134,118
g22969,60,49
g22970,187,189
g22971,0,0
g22972,0,0
g22973,1,3
g22974,124,134
g22975,984,790
g22976,4203,3538
g22977,26,36
g22978,1,0
g22979,11,13
g22980,1,6
g22981,124,82
g22982,104,113
g22983,211,167
g22984,0,0
g22985,2,2
g22986,0,1
g22987,737,797
g22988,7,3
g22989,675,716
g22990,1,0
g22991,466,449
g22992,343,212
g22993,0,0
g22994,181,256
g22995,2,3
g22996,29,29
g22997,11,23
g22998,88,69
g22999,3,2
g23000,5094,2353
g23001,3033,1292
g23002,1167,745
g23003,73,231
g23004,0,0
g23005,21,28
g23006,0,10
g23007,0,0
g23008,233,211
g23009,177,169
g23010,7071,5214
g23011,0,5
g23012,0,0
g23013,0,0
g23014,0,0
g23015,0,0
g23016,0,0
g23017,0,0
g23018,0,0
g23019,0,0
g23020,20,17
g23021,7,1
g23022,0,0
g23023,3,1
g23024,0,0
g23025,0,0
g23026,2,0
g23027,0,0
g23028,0,0
g23029,0,0
g23030,0,0
g23031,1,2
g23032,10,11
g23033,0,0
g23034,16,23
g23035,9,9
g23036,5,5
g23037,1,1
g23038,0,0
g23039,0,0
g23040,0,0
g23041,0,0
g23042,0,0
g23043,0,0
g23044,0,0
g23045,0,0
g23046,0,0
g23047,0,0
g23048,0,0
g23049,0,0
g23050,0,0
g23051,0,0
g23052,0,0
g23053,0,0
g23054,0,0
g23055,0,0
g23056,0,0
g23057,0,0
g23058,0,0
g23059,0,0
g23060,0,0
g23061,0,0
g23062,0,0
g23063,0,0
g23064,0,0
g23065,0,0
g23066,0,0
g23067,0,0
g23068,0,0
g23069,0,0
g23070,0,0
g23071,0,0
g23072,0,0
g23073,892,378
g23074,0,0
g23075,0,0
g23076,0,0
g23077,0,0
g23078,0,0
g23079,0,0
g23080,0,0
g23081,0,0
g23082,0,0
g23083,0,0
g23084,0,0
g23085,168,203
g23086,1,2
g23087,9,11
g23088,93,111
g23089,337,289
g23090,457,581
g23091,2,3
g23092,192,160
g23093,1,3
g23094,79,69
g23095,55,87
g23096,191,261
g23097,54,77
g23098,31,32
g23099,1,2
g23100,683,534
g23101,284,276
g23102,377,302
g23103,13,47
g23104,19,25
g23105,1096,1129
g23106,6,13
g23107,0,0
g23108,0,0
g23109,0,0
g23110,505,428
g23111,135,95
g23112,467,276
g23113,53,49
g23114,4,1
g23115,0,0
g23116,748,574
g23117,1,10
g23118,0,0
g23119,0,0
g23120,0,2
g23121,0,0
g23122,0,1
g23123,291,267
g23124,290,213
g23125,1,1
g23126,229,178
g23127,114,188
g23128,4,18
g23129,116,454
g23130,13,18
g23131,741,654
g23132,66,93
g23133,67,76
g23134,44,33
g23135,548,409
g23136,48,54
g23137,13,17
g23138,58,51
g23139,408,408
g23140,9,13
g23141,77,105
g23142,69,78
g23143,1381,820
g23144,2859,1683
g23145,228,97
g23146,56,65
g23147,0,0
g23148,117,141
g23149,808,936
g23150,218,216
g23151,40,226
g23152,18,52
g23153,6654,4642
g23154,601,435
g23155,1,0
g23156,2,9
g23157,166,221
g23158,0,0
g23159,0,0
g23160,0,0
g23161,0,0
g23162,0,0
g23163,0,0
g23164,0,0
g23165,0,1
g23166,0,0
g23167,0,8
g23168,0,0
g23169,14,40
g23170,2,0
g23171,227,195
g23172,222,192
g23173,1,20
g23174,0,0
g23175,7,0
g23176,0,0
g23177,3,1
g23178,0,0
g23179,135,165
g23180,14,30
g23181,2,3
g23182,0,0
g23183,14,15
g23184,470,407
g23185,66,87
g23186,94,132
g23187,0,0
g23188,224,187
g23189,1,6
g23190,9,39
g23191,311,275
g23192,2,6
g23193,791,580
g23194,1053,887
g23195,0,0
g23196,0,0
g23197,16,37
g23198,60,64
g23199,587,673
g23200,630,388
g23201,20,23
g23202,277,258
g23203,28,56
g23204,516,637
g23205,8,1
g23206,1690,625
g23207,1,1
g23208,0,0
g23209,86,178
g23210,128,179
g23211,36,20
g23212,344,464
g23213,0,8
g23214,13,26
g23215,0,0
g23216,0,0
g23217,60,123
g23218,0,0
g23219,6,7
g23220,3,1
g23221,81,57
g23222,41,66
g23223,313,280
g23224,806,582
g23225,86,107
g23226,0,0
g23227,0,0
g23228,0,0
g23229,0,0
g23230,0,0
g23231,34,213
g23232,1,24
g23233,1444,1358
g23234,155,212
g23235,0,0
g23236,743,870
g23237,1105,679
g23238,297,204
g23239,0,0
g23240,0,0
g23241,0,1
g23242,0,0
g23243,0,0
g23244,0,0
g23245,0,0
g23246,0,0
g23247,0,0
g23248,992,2072
g23249,45,84
g23250,0,2
g23251,0,0
g23252,0,0
g23253,0,0
g23254,0,0
g23255,12,52
g23256,1,14
g23257,1,5
g23258,0,0
g23259,7,12
g23260,3,3
g23261,0,2
g23262,6,34
g23263,0,0
g23264,12,17
g23265,193,163
g23266,37,17
g23267,4,1
g23268,18,46
g23269,72,76
g23270,288,357
g23271,0,1
g23272,5512,5785
g23273,17,42
g23274,34,68
g23275,15,64
g23276,5,9
g23277,58,82
g23278,0,0
g23279,471,658
g23280,669,512
g23281,124,134
g23282,1,0
g23283,118,89
g23284,165,137
g23285,0,0
g23286,1,4
g23287,143,234
g23288,47,33
g23289,29,173
g23290,0,0
g23291,0,0
g23292,0,0
g23293,5,4
g23294,60,52
g23295,10,32
g23296,2,12
g23297,473,407
g23298,0,0
g23299,0,0
g23300,0,0
g23301,12,12
g23302,0,0
g23303,0,0
g23304,0,0
g23305,0,0
g23306,0,0
g23307,0,2
g23308,5,4
g23309,3,8
g23310,0,1
g23311,11,4
g23312,0,0
g23313,18,5
g23314,0,0
g23315,0,0
g23316,0,0
g23317,0,0
g23318,0,0
g23319,0,0
g23320,0,0
g23321,0,0
g23322,55,33
g23323,81,57
g23324,273,267
g23325,0,2
g23326,1,2
g23327,54,67
g23328,3,2
g23329,134,103
g23330,266,253
g23331,5,7
g23332,4,7
g23333,0,0
g23334,0,0
g23335,0,0
g23336,0,0
g23337,0,0
g23338,0,0
g23339,1641,1481
g23340,43,64
g23341,1973,1476
g23342,6,0
g23343,181,139
g23344,97,193
g23345,3,9
g23346,0,0
g23347,57,43
g23348,136,278
g23349,1,2
g23350,2,1
g23351,0,0
g23352,1,1
g23353,0,0
g23354,10,22
g23355,0,0
g23356,1052,970
g23357,1387,939
g23358,73,75
g23359,95,77
g23360,0,0
g23361,0,0
g23362,0,0
g23363,1,5
g23364,0,0
g23365,14,4
g23366,0,0
g23367,49,43
g23368,0,0
g23369,0,0
g23370,1,14
g23371,68,114
g23372,0,0
g23373,27,20
g23374,0,0
g23375,179,356
g23376,491,368
g23377,60,96
g23378,2,2
g23379,193,210
g23380,7,220
g23381,3,39
g23382,42,25
g23383,2205,1676
g23384,614,510
g23385,32,31
g23386,40,49
g23387,4,2
g23388,23,19
g23389,0,0
g23390,0,0
g23391,62,74
g23392,0,2
g23393,182,200
g23394,38,53
g23395,242,331
g23396,854,984
g23397,100,76
g23398,103,103
g23399,10,5
g23400,26,23
g23401,3,11
g23402,333,362
g23403,27,20
g23404,2763,2155
g23405,4,1
g23406,1585,1094
g23407,255,258
g23408,2,7
g23409,0,0
g23410,0,0
g23411,3,1
g23412,242,118
g23413,101,58
g23414,306,259
g23415,6,6
g23416,172,138
g23417,83,71
g23418,80,89
g23419,178,224
g23420,0,0
g23421,241,160
g23422,529,378
g23423,761,657
g23424,16,19
g23425,16,19
g23426,1480,1190
g23427,1,2
g23428,183,166
g23429,168,163
g23430,1,0
g23431,9,10
g23432,136,151
g23433,164,106
g23434,257,244
g23435,2054,1986
g23436,864,589
g23437,101,162
g23438,331,344
g23439,3,1
g23440,1,1
g23441,150,192
g23442,242,213
g23443,4931,3281
g23444,65,8
g23445,1,1
g23446,4,3
g23447,46,36
g23448,114,165
g23449,3015,2284
g23450,1093,772
g23451,47,37
g23452,986,646
g23453,5,3
g23454,488,258
g23455,13,23
g23456,2,2
g23457,538,350
g23458,12,2
g23459,556,423
g23460,15,10
g23461,13,26
g23462,0,0
g23463,1,0
g23464,0,0
g23465,0,0
g23466,52,75
g23467,790,747
g23468,446,274
g23469,60,85
g23470,399,389
g23471,5,19
g23472,453,471
g23473,9,15
g23474,163,182
g23475,127,105
g23476,1087,570
g23477,3571,1358
g23478,86,64
g23479,5,64
g23480,1,2
g23481,19,24
g23482,398,350
g23483,1,17
g23484,0,0
g23485,221,300
g23486,559,421
g23487,1003,753
g23488,247,180
g23489,15,24
g23490,320,354
g23491,3,58
g23492,11,30
g23493,2,4
g23494,0,5
g23495,1498,1113
g23496,21,17
g23497,8,10
g23498,32,35
g23499,45,53
g23500,3,4
g23501,0,0
g23502,0,0
g23503,0,0
g23504,2897,2332
g23505,1032,996
g23506,336,293
g23507,1,0
g23508,0,1
g23509,825,558
g23510,53,101
g23511,150,105
g23512,1287,965
g23513,0,2
g23514,17,40
g23515,190,226
g23516,719,625
g23517,22,27
g23518,160,139
g23519,955,771
g23520,71,54
g23521,1,0
g23522,843,518
g23523,1,4
g23524,57,75
g23525,0,0
g23526,0,0
g23527,217,245
g23528,73,56
g23529,2805,1226
g23530,94,219
g23531,0,9
g23532,1,0
g23533,0,0
g23534,0,0
g23535,11,32
g23536,0,0
g23537,839,654
g23538,105,75
g23539,433,246
g23540,78,88
g23541,0,0
g23542,5,111
g23543,0,0
g23544,0,0
g23545,0,1
g23546,28,30
g23547,96,118
g23548,100,137
g23549,68,118
g23550,2,1
g23551,86,106
g23552,9,16
g23553,523,592
g23554,1050,749
g23555,992,1019
g23556,50,52
g23557,4,10
g23558,1,93
g23559,2,2
g23560,0,0
g23561,2,5
g23562,268,324
g23563,1312,1261
g23564,9,21
g23565,1866,1279
g23566,15,39
g23567,29,74
g23568,167,148
g23569,44,50
g23570,872,681
g23571,6,3
g23572,60,81
g23573,0,0
g23574,1,0
g23575,7,9
g23576,0,0
g23577,347,292
g23578,2388,2610
g23579,1483,821
g23580,1454,1246
g23581,31,66
g23582,32,117
g23583,428,359
g23584,79,161
g23585,276,332
g23586,45,61
g23587,16,43
g23588,494,586
g23589,250,271
g23590,306,328
g23591,3,1
g23592,6,21
g23593,0,2
g23594,74,97
g23595,1,0
g23596,0,0
g23597,16,17
g23598,13,19
g23599,176,289
g23600,0,0
g23601,210,189
g23602,12,30
g23603,891,919
g23604,15,23
g23605,23,29
g23606,1,0
g23607,0,4
g23608,17,12
g23609,20,25
g23610,16,11
g23611,12,10
g23612,6119,3501
g23613,997,456
g23614,267,212
g23615,111,74
g23616,21,32
g23617,1815,513
g23618,1423,1188
g23619,437,403
g23620,8,6
g23621,228,254
g23622,18,30
g23623,6,1
g23624,1596,1302
g23625,241,297
g23626,485,532
g23627,3621,3063
g23628,0,0
g23629,347,366
g23630,7,33
g23631,41,67
g23632,7,7
g23633,1067,794
g23634,209,140
g23635,34,30
g23636,16,8
g23637,322,170
g23638,2088,1900
g23639,6331,1757
g23640,741,647
g23641,60,9
g23642,397,322
g23643,1022,668
g23644,2260,1532
g23645,372,317
g23646,241,250
g23647,6,3
g23648,108,118
g23649,159,111
g23650,132,122
g23651,357,329
g23652,14,10
g23653,0,0
g23654,0,0
g23655,1379,1114
g23656,67,77
g23657,1,1
g23658,27,42
g23659,846,932
g23660,1705,1408
g23661,27,34
g23662,533,576
g23663,308,332
g23664,0,1
g23665,784,725
g23666,343,243
g23667,122,70
g23668,612,401
g23669,0,0
g23670,0,0
g23671,2,0
g23672,0,1
g23673,0,0
g23674,4,37
g23675,51,51
g23676,307,286
g23677,0,3
g23678,388,370
g23679,6,8
g23680,121,198
g23681,397,413
g23682,18,123
g23683,5,11
g23684,5,5
g23685,32,45
g23686,465,327
g23687,0,0
g23688,0,0
g23689,0,1
g23690,14,14
g23691,0,2
g23692,728,786
g23693,541,464
g23694,546,511
g23695,65,42
g23696,274,381
g23697,21,31
g23698,961,1338
g23699,37,65
g23700,258,339
g23701,1,0
g23702,169,360
g23703,387,305
g23704,2033,1345
g23705,27,42
g23706,0,0
g23707,0,0
g23708,0,0
g23709,1,3
g23710,0,0
g23711,0,0
g23712,0,0
g23713,0,0
g23714,0,0
g23715,5,22
g23716,0,0
g23717,647,605
g23718,144,128
g23719,20,14
g23720,3,2
g23721,306,249
g23722,47,70
g23723,3,20
g23724,0,1
g23725,107,273
g23726,659,780
g23727,225,122
g23728,0,0
g23729,3,4
g23730,1159,931
g23731,0,5
g23732,48,102
g23733,7,16
g23734,360,284
g23735,152,139
g23736,115,175
g23737,4,7
g23738,51,1
g23739,193,147
g23740,80,66
g23741,3,1
g23742,111,100
g23743,230,197
g23744,159,86
g23745,791,241
g23746,4,35
g23747,15,9
g23748,1004,831
g23749,12,16
g23750,0,0
g23751,309,302
g23752,912,559
g23753,0,0
g23754,1,0
g23755,79,104
g23756,87,91
g23757,24,81
g23758,157,169
g23759,4018,3095
g23760,81,68
g23761,1,0
g23762,11,31
g23763,220,255
g23764,210,175
g23765,2101,1830
g23766,25,24
g23767,1,1
g23768,178,144
g23769,341,382
g23770,0,0
g23771,1,2
g23772,0,0
g23773,2,2
g23774,0,0
g23775,47,272
g23776,0,0
g23777,0,0
g23778,8,112
g23779,0,21
g23780,4,8
g23781,141,123
g23782,30,24
g23783,19,36
g23784,0,0
g23785,2,1
g23786,0,0
g23787,11,38
g23788,103,226
g23789,1083,1099
g23790,2,2
g23791,227,142
g23792,1,0
g23793,0,0
g23794,43,44
g23795,0,0
g23796,4,4
g23797,94,65
g23798,0,0
g23799,0,0
g23800,0,1
g23801,1,1
g23802,0,0
g23803,70,73
g23804,2683,2152
g23805,4758,4899
g23806,10,3
g23807,2,0
g23808,0,1
g23809,11,4
g23810,1291,800
g23811,448,258
g23812,67,80
g23813,145,126
g23814,9,5
g23815,1,4
g23816,88,138
g23817,85,80
g23818,22,18
g23819,15,10
g23820,341,343
g23821,344,300
g23822,7,10
g23823,33,39
g23824,145,122
g23825,21,28
g23826,3,13
g23827,0,2
g23828,1,0
g23829,0,2
g23830,2403,438
g23831,143,167
g23832,6,12
g23833,1373,1165
g23834,17,20
g23835,2,1
g23836,43,146
g23837,0,2
g23838,31,27
g23839,575,441
g23840,20,11
g23841,172,143
g23842,26,21
g23843,38,31
g23844,16,6
g23845,369,125
g23846,1598,868
g23847,1,7
g23848,113,141
g23849,270,199
g23850,21,15
g23851,2,4
g23852,640,602
g23853,0,0
g23854,103,127
g23855,0,0
g23856,41,33
g23857,5,10
g23858,104,139
g23859,0,0
g23860,7,1
g23861,306,199
g23862,121,99
g23863,906,786
g23864,3216,3006
g23865,274,242
g23866,19,18
g23867,7,3
g23868,30,51
g23869,277,203
g23870,467,498
g23871,9846,6356
g23872,170,162
g23873,1,0
g23874,71,52
g23875,0,0
g23876,298,418
g23877,2,1
g23878,5930,6897
g23879,1197,1449
g23880,61,101
g23881,168,268
g23882,430,554
g23883,277,327
g23884,44,101
g23885,610,405
g23886,134,104
g23887,218,192
g23888,211,211
g23889,0,0
g23890,124,112
g23891,1,4
g23892,463,687
g23893,5208,4126
g23894,8,11
g23895,145,138
g23896,692,707
g23897,2,1
g23898,1174,885
g23899,0,0
g23900,10,36
g23901,0,0
g23902,0,0
g23903,2,1
g23904,4,0
g23905,645,650
g23906,50,43
g23907,2,28
g23908,65,83
g23909,136,104
g23910,1130,947
g23911,149,138
g23912,606,632
g23913,1174,1219
g23914,2,4
g23915,85,96
g23916,72,41
g23917,0,0
g23918,0,0
g23919,39,46
g23920,0,0
g23921,47,70
g23922,0,0
g23923,0,0
g23924,138,144
g23925,243,325
g23926,729,822
g23927,1176,1217
g23928,4,4
g23929,506,479
g23930,49,62
g23931,57,76
g23932,121,152
g23933,417,365
g23934,0,1
g23935,563,664
g23936,244,142
g23937,0,0
g23938,189,176
g23939,47,46
g23940,373,530
g23941,6,13
g23942,84,99
g23943,0,0
g23944,2,2
g23945,12,29
g23946,86,104
g23947,292,243
g23948,6,15
g23949,42,44
g23950,0,0
g23951,0,0
g23952,223,192
g23953,691,667
g23954,160,117
g23955,0,1
g23956,161,91
g23957,155,93
g23958,113,96
g23959,622,585
g23960,137,117
g23961,0,3
g23962,1,2
g23963,0,0
g23964,361,334
g23965,7,7
g23966,8,44
g23967,16,14
g23968,1,5
g23969,0,0
g23970,0,4
g23971,1,1
g23972,76,81
g23973,285,359
g23974,0,0
g23975,12,19
g23976,0,0
g23977,40,29
g23978,13,35
g23979,660,618
g23980,7,5
g23981,87,105
g23982,2,0
g23983,16,5
g23984,2067,1349
g23985,1108,696
g23986,651,841
g23987,108,65
g23988,5274,4053
g23989,977,522
g23990,94,94
g23991,0,0
g23992,65,101
g23993,825,597
g23994,50,74
g23995,17,6
g23996,0,0
g23997,0,0
g23998,678,796
g23999,536,468
g24000,25,25
g24001,210,200
g24002,1,1
g24003,10,28
g24004,40,60
g24005,0,1
g24006,564,380
g24007,137,111
g24008,93,251
g24009,37,60
g24010,514,492
g24011,11,24
g24012,284,220
g24013,3058,1730
g24014,6,6
g24015,1865,1382
g24016,24,41
g24017,4,7
g24018,3,9
g24019,171,164
g24020,1062,969
g24021,3,9
g24022,1,1
g24023,1,2
g24024,0,2
g24025,207,182
g24026,2,3
g24027,0,0
g24028,0,0
g24029,0,4
g24030,175,223
g24031,971,527
g24032,251,266
g24033,10,4
g24034,178,192
g24035,0,0
g24036,216,525
g24037,0,0
g24038,0,0
g24039,109,128
g24040,1,22
g24041,442,320
g24042,0,0
g24043,548,525
g24044,1,0
g24045,108,99
g24046,878,559
g24047,357,309
g24048,34,15
g24049,0,1
g24050,180,106
g24051,766,578
g24052,4224,3059
g24053,42,64
g24054,278,259
g24055,14,18
g24056,130,98
g24057,0,0
g24058,11,17
g24059,0,0
g24060,1,1
g24061,91,116
g24062,6,10
g24063,4161,3658
g24064,108,90
g24065,354,358
g24066,143,113
g24067,163,133
g24068,8,5
g24069,1,1
g24070,40,94
g24071,28,65
g24072,1669,1097
g24073,1,0
g24074,160,149
g24075,46,31
g24076,25,20
g24077,420,389
g24078,425,287
g24079,88,83
g24080,31,11
g24081,3675,2896
g24082,10,14
g24083,102,35
g24084,1016,801
g24085,307,266
g24086,52,44
g24087,142,104
g24088,0,0
g24089,0,0
g24090,0,0
g24091,0,0
g24092,0,0
g24093,0,0
g24094,0,0
g24095,0,0
g24096,0,0
g24097,0,0
g24098,0,0
g24099,0,0
g24100,0,0
g24101,0,0
g24102,0,0
g24103,0,0
g24104,0,0
g24105,0,0
g24106,0,0
g24107,0,0
g24108,0,0
g24109,0,0
g24110,0,0
g24111,0,0
g24112,0,0
g24113,0,0
g24114,0,0
g24115,0,0
g24116,0,0
g24117,0,0
g24118,0,0
g24119,0,0
g24120,0,0
g24121,2932,2408
g24122,0,1
g24123,57,122
g24124,1,0
g24125,23,23
g24126,209,916
g24127,217,220
g24128,446,393
g24129,51,61
g24130,289,346
g24131,1,0
g24132,507,492
g24133,166,298
g24134,13,15
g24135,21,26
g24136,358,299
g24137,1,36
g24138,28,55
g24139,1335,1367
g24140,285,255
g24141,24,45
g24142,968,400
g24143,1,4
g24144,145,180
g24145,549,531
g24146,261,219
g24147,206,163
g24148,565,992
g24149,516,643
g24150,1,8
g24151,576,757
g24152,0,0
g24153,20,33
g24154,65,86
g24155,6,2
g24156,1,1
g24157,29,50
g24158,0,1
g24159,39,60
g24160,126,119
g24161,490,485
g24162,2805,2620
g24163,1,0
g24164,507,505
g24165,175,139
g24166,3790,3453
g24167,29,18
g24168,47,143
g24169,0,1
g24170,191,601
g24171,0,0
g24172,0,0
g24173,1,0
g24174,27,11
g24175,3,1
g24176,0,0
g24177,0,0
g24178,57,38
g24179,235,271
g24180,5,28
g24181,151,116
g24182,14,10
g24183,66,60
g24184,1,5
g24185,57,65
g24186,3,4
g24187,0,3
g24188,1,5
g24189,0,0
g24190,254,318
g24191,320,376
g24192,0,0
g24193,1,1
g24194,0,0
g24195,0,1
g24196,1,0
g24197,0,4
g24198,3,4
g24199,6,5
g24200,4,2
g24201,0,0
g24202,3667,3296
g24203,245,212
g24204,316,183
g24205,2241,1911
g24206,34,34
g24207,36,35
g24208,0,0
g24209,0,0
g24210,0,5
g24211,34,44
g24212,3,3
g24213,195,269
g24214,2,7
g24215,0,0
g24216,0,0
g24217,50,41
g24218,63,37
g24219,91,167
g24220,23,49
g24221,383,455
g24222,69,90
g24223,299,248
g24224,149,195
g24225,1367,654
g24226,0,1
g24227,341,275
g24228,3317,2697
g24229,0,0
g24230,3,5
g24231,0,0
g24232,276,246
g24233,180,138
g24234,0,0
g24235,1,0
g24236,57,72
g24237,1155,416
g24238,463,256
g24239,300,212
g24240,15,44
g24241,224,200
g24242,340,352
g24243,20,21
g24244,13,23
g24245,0,1
g24246,0,0
g24247,165,127
g24248,0,0
g24249,15,43
g24250,295,185
g24251,2,4
g24252,0,0
g24253,2,0
g24254,10,15
g24255,0,0
g24256,0,0
g24257,0,0
g24258,0,0
g24259,0,0
g24260,0,0
g24261,0,0
g24262,0,0
g24263,0,0
g24264,0,0
g24265,0,0
g24266,0,0
g24267,1,0
g24268,0,0
g24269,0,0
g24270,0,0
g24271,0,0
g24272,0,0
g24273,0,0
g24274,0,0
g24275,0,0
g24276,151,192
g24277,3,1
g24278,0,0
g24279,0,0
g24280,0,0
g24281,0,0
g24282,0,0
g24283,0,0
g24284,0,0
g24285,0,0
g24286,0,0
g24287,0,0
g24288,0,0
g24289,0,0
g24290,0,0
g24291,0,0
g24292,0,0
g24293,0,0
g24294,14,36
g24295,447,494
g24296,117,57
g24297,5622,3670
g24298,38,34
g24299,5,2
g24300,93,71
g24301,1053,732
g24302,213,215
g24303,36,85
g24304,8,108
g24305,0,1
g24306,24,45
g24307,47,63
g24308,358,551
g24309,949,741
g24310,1926,1748
g24311,294,184
g24312,289,280
g24313,42,35
g24314,0,5
g24315,0,0
g24316,6,5
g24317,0,0
g24318,1,0
g24319,80,109
g24320,191,299
g24321,232,183
g24322,1182,1101
g24323,2,4
g24324,138,110
g24325,537,448
g24326,626,200
g24327,326,224
g24328,325,315
g24329,72,71
g24330,1277,865
g24331,2675,1875
g24332,200,388
g24333,5,17
g24334,66,83
g24335,2420,2094
g24336,4,1
g24337,64,103
g24338,3,6
g24339,426,602
g24340,420,482
g24341,313,320
g24342,0,1
g24343,0,0
g24344,1927,2047
g24345,991,1619
g24346,15,37
g24347,52,103
g24348,1674,1459
g24349,43,38
g24350,806,578
g24351,3313,2582
g24352,99,118
g24353,5,11
g24354,60,117
g24355,70,57
g24356,3,4
g24357,3,1
g24358,0,1
g24359,381,501
g24360,2,6
g24361,56,60
g24362,36,32
g24363,168,181
g24364,3,1
g24365,6,6
g24366,307,214
g24367,120,170
g24368,54,61
g24369,0,0
g24370,0,0
g24371,66,57
g24372,13,14
g24373,71,114
g24374,2,0
g24375,57,119
g24376,20,6
g24377,161,179
g24378,58,76
g24379,3,10
g24380,0,0
g24381,45,62
g24382,0,0
g24383,0,0
g24384,7,4
g24385,281,272
g24386,1079,906
g24387,14,19
g24388,10,14
g24389,483,242
g24390,0,0
g24391,0,1
g24392,159,166
g24393,56,78
g24394,945,919
g24395,225,224
g24396,7,33
g24397,21,19
g24398,11,22
g24399,0,0
g24400,0,7
g24401,1,5
g24402,242,259
g24403,21,87
g24404,2,3
g24405,485,591
g24406,0,7
g24407,2021,1567
g24408,1272,1774
g24409,4,0
g24410,0,1
g24411,123,161
g24412,410,331
g24413,19,4
g24414,3240,2564
g24415,1905,1673
g24416,4,0
g24417,0,0
g24418,0,2
g24419,20,30
g24420,46,132
g24421,0,0
g24422,0,0
g24423,3,6
g24424,0,1
g24425,10,30
g24426,3,7
g24427,34,36
g24428,12,9
g24429,198,161
g24430,444,471
g24431,33,30
g24432,36,27
g24433,0,0
g24434,1,0
g24435,149,229
g24436,0,2
g24437,0,2
g24438,70,86
g24439,11,21
g24440,0,0
g24441,1,2
g24442,1,4
g24443,0,0
g24444,0,0
g24445,0,0
g24446,0,0
g24447,0,0
g24448,0,0
g24449,0,0
g24450,0,0
g24451,0,0
g24452,0,0
g24453,0,0
g24454,0,0
g24455,0,0
g24456,0,0
g24457,0,0
g24458,16,17
g24459,750,894
g24460,1353,1191
g24461,9,13
g24462,4,10
g24463,73,44
g24464,1957,1007
g24465,0,1
g24466,61,57
g24467,0,1
g24468,3,48
g24469,3,1
g24470,50,68
g24471,3,39
g24472,1,8
g24473,0,10
g24474,4,1
g24475,22,28
g24476,821,767
g24477,1,2
g24478,0,0
g24479,0,0
g24480,0,0
g24481,0,0
g24482,0,0
g24483,0,1
g24484,0,0
g24485,0,0
g24486,0,0
g24487,0,0
g24488,0,0
g24489,0,0
g24490,0,0
g24491,0,0
g24492,0,0
g24493,5,4
g24494,3,3
g24495,2,1
g24496,0,1
g24497,0,0
g24498,0,0
g24499,0,0
g24500,0,0
g24501,0,0
g24502,0,0
g24503,0,0
g24504,0,0
g24505,0,0
g24506,0,0
g24507,0,0
g24508,0,0
g24509,0,0
g24510,0,0
g24511,0,0
g24512,0,0
g24513,0,0
g24514,0,0
g24515,0,0
g24516,0,0
g24517,0,0
g24518,0,0
g24519,0,0
g24520,0,0
g24521,235,197
g24522,5,4
g24523,0,0
g24524,0,0
g24525,0,0
g24526,0,0
g24527,0,0
g24528,0,0
g24529,0,0
g24530,0,0
g24531,0,0
g24532,0,0
g24533,0,0
g24534,0,0
g24535,0,0
g24536,0,0
g24537,0,0
g24538,0,0
g24539,0,0
g24540,0,0
g24541,0,0
g24542,0,0
g24543,0,0
g24544,0,0
g24545,0,0
g24546,0,0
g24547,0,0
g24548,0,0
g24549,0,0
g24550,0,0
g24551,0,0
g24552,22,91
g24553,0,0
g24554,0,0
g24555,0,0
g24556,0,0
g24557,0,0
g24558,0,0
g24559,0,0
g24560,0,0
g24561,0,0
g24562,0,0
g24563,0,0
g24564,0,0
g24565,0,0
g24566,0,0
g24567,0,0
g24568,0,0
g24569,0,0
g24570,0,0
g24571,0,0
g24572,0,0
g24573,0,0
g24574,0,0
g24575,0,0
g24576,0,0
g24577,0,0
g24578,0,0
g24579,0,0
g24580,0,0
g24581,30,40
g24582,9,3
g24583,11,13
g24584,1,0
g24585,0,0
g24586,162,249
g24587,227,129
g24588,820,537
g24589,2,1
g24590,3,1
g24591,1,1
g24592,0,0
g24593,0,0
g24594,2,2
g24595,120,92
g24596,0,0
g24597,0,3
g24598,1,2
g24599,0,0
g24600,0,1
g24601,20,49
g24602,0,0
g24603,101,255
g24604,22,2
g24605,1545,978
g24606,2,4
g24607,1,1
g24608,72,61
g24609,11,12
g24610,3909,3035
g24611,71,14
g24612,2931,1932
g24613,5,22
g24614,16,40
g24615,0,0
g24616,22712,16007
g24617,2120,3037
g24618,0,0
g24619,0,2
g24620,47,193
g24621,1201,862
g24622,30,25
g24623,30,25
g24624,31,51
g24625,4,6
g24626,79,222
g24627,397,375
g24628,0,1
g24629,1,2
g24630,251,190
g24631,53,25
g24632,77,109
g24633,76,71
g24634,125,132
g24635,210,447
g24636,173,169
g24637,518,419
g24638,1,0
g24639,761,698
g24640,77,60
g24641,239,231
g24642,845,510
g24643,60,51
g24644,0,0
g24645,1,0
g24646,33,32
g24647,583,897
g24648,2,8
g24649,1359,1503
g24650,2,1
g24651,131,223
g24652,107,104
g24653,1140,1169
g24654,268,166
g24655,2,5
g24656,2,4
g24657,478,634
g24658,5,4
g24659,1391,1152
g24660,31,10
g24661,4,6
